Image,Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
big_char_158.png,A,10,2,0.83,0.17,12,0,1.00,0.00,7,5,0.58,0.42,9,3,0.75,0.25,8,4,0.67,0.33,8,4,0.67,0.33,6,6,0.50,0.50,6,6,0.50,0.50,12,0,1.00,0.00,78,30,0.59,0.23
big_char_1354.png,,41,7,0.85,0.15,35,13,0.73,0.27,40,8,0.83,0.17,39,9,0.81,0.19,36,12,0.75,0.25,48,0,1.00,0.00,45,3,0.94,0.06,31,17,0.65,0.35,47,1,0.98,0.02,362,70,0.72,0.14
big_char_1432.png,G,48,0,1.00,0.00,35,13,0.73,0.27,46,2,0.96,0.04,44,4,0.92,0.08,28,20,0.58,0.42,41,7,0.85,0.15,48,0,1.00,0.00,33,15,0.69,0.31,45,3,0.94,0.06,368,64,0.77,0.13
big_char_1803.png,,21,3,0.88,0.12,14,10,0.58,0.42,20,4,0.83,0.17,12,12,0.50,0.50,12,12,0.50,0.50,14,10,0.58,0.42,15,9,0.62,0.38,13,11,0.54,0.46,17,7,0.71,0.29,138,78,0.56,0.32
big_char_1817.png,,10,6,0.62,0.38,16,0,1.00,0.00,12,4,0.75,0.25,8,8,0.50,0.50,12,4,0.75,0.25,5,11,0.31,0.69,14,2,0.88,0.12,5,11,0.31,0.69,15,1,0.94,0.06,97,47,0.58,0.28
big_char_399.png,,4,0,1.00,0.00,3,1,0.75,0.25,0,4,0.00,1.00,4,0,1.00,0.00,0,4,0.00,1.00,0,4,0.00,1.00,4,0,1.00,0.00,3,1,0.75,0.25,1,3,0.25,0.75,19,17,0.32,0.28
big_char_372.png,M,16,4,0.80,0.20,17,3,0.85,0.15,12,8,0.60,0.40,19,1,0.95,0.05,8,12,0.40,0.60,8,12,0.40,0.60,13,7,0.65,0.35,15,5,0.75,0.25,9,11,0.45,0.55,117,63,0.61,0.33
big_char_1618.png,Y,12,8,0.60,0.40,18,2,0.90,0.10,18,2,0.90,0.10,13,7,0.65,0.35,10,10,0.50,0.50,10,10,0.50,0.50,13,7,0.65,0.35,12,8,0.60,0.40,7,13,0.35,0.65,113,67,0.54,0.32
big_char_400.png,C,12,0,1.00,0.00,6,6,0.50,0.50,10,2,0.83,0.17,5,7,0.42,0.58,11,1,0.92,0.08,12,0,1.00,0.00,9,3,0.75,0.25,6,6,0.50,0.50,7,5,0.58,0.42,78,30,0.60,0.23
big_char_366.png,J,15,1,0.94,0.06,7,9,0.44,0.56,9,7,0.56,0.44,14,2,0.88,0.12,9,7,0.56,0.44,15,1,0.94,0.06,9,7,0.56,0.44,8,8,0.50,0.50,12,4,0.75,0.25,98,46,0.58,0.27
big_char_1142.png,S,48,0,1.00,0.00,48,0,1.00,0.00,48,0,1.00,0.00,36,12,0.75,0.25,48,0,1.00,0.00,48,0,1.00,0.00,31,17,0.65,0.35,32,16,0.67,0.33,48,0,1.00,0.00,387,45,0.81,0.09
big_char_1624.png,,14,2,0.88,0.12,6,10,0.38,0.62,10,6,0.62,0.38,11,5,0.69,0.31,3,13,0.19,0.81,9,7,0.56,0.44,6,10,0.38,0.62,11,5,0.69,0.31,11,5,0.69,0.31,81,63,0.45,0.35
big_char_1631.png,,41,7,0.85,0.15,35,13,0.73,0.27,31,17,0.65,0.35,34,14,0.71,0.29,27,21,0.56,0.44,46,2,0.96,0.04,32,16,0.67,0.33,32,16,0.67,0.33,47,1,0.98,0.02,325,107,0.71,0.23
big_char_1157.png,,46,2,0.96,0.04,40,8,0.83,0.17,48,0,1.00,0.00,46,2,0.96,0.04,23,25,0.48,0.52,48,0,1.00,0.00,48,0,1.00,0.00,29,19,0.60,0.40,44,4,0.92,0.08,372,60,0.75,0.12
big_char_1143.png,M,48,0,1.00,0.00,48,0,1.00,0.00,46,2,0.96,0.04,34,14,0.71,0.29,21,27,0.44,0.56,38,10,0.79,0.21,40,8,0.83,0.17,41,7,0.85,0.15,39,9,0.81,0.19,355,77,0.75,0.16
big_char_429.png,F,13,3,0.81,0.19,9,7,0.56,0.44,8,8,0.50,0.50,7,9,0.44,0.56,8,8,0.50,0.50,12,4,0.75,0.25,6,10,0.38,0.62,16,0,1.00,0.00,16,0,1.00,0.00,95,49,0.56,0.29
big_char_1625.png,,9,0,1.00,0.00,9,0,1.00,0.00,4,5,0.44,0.56,9,0,1.00,0.00,3,6,0.33,0.67,6,3,0.67,0.33,4,5,0.44,0.56,3,6,0.33,0.67,9,0,1.00,0.00,56,25,0.51,0.23
big_char_401.png,,18,2,0.90,0.10,12,8,0.60,0.40,19,1,0.95,0.05,11,9,0.55,0.45,10,10,0.50,0.50,12,8,0.60,0.40,11,9,0.55,0.45,14,6,0.70,0.30,10,10,0.50,0.50,117,63,0.56,0.30
big_char_373.png,Z,13,7,0.65,0.35,12,8,0.60,0.40,13,7,0.65,0.35,18,2,0.90,0.10,7,13,0.35,0.65,13,7,0.65,0.35,13,7,0.65,0.35,12,8,0.60,0.40,13,7,0.65,0.35,114,66,0.59,0.34
big_char_1619.png,,47,1,0.98,0.02,39,9,0.81,0.19,40,8,0.83,0.17,47,1,0.98,0.02,13,35,0.27,0.73,47,1,0.98,0.02,46,2,0.96,0.04,25,23,0.52,0.48,45,3,0.94,0.06,349,83,0.71,0.17
big_char_398.png,,20,0,1.00,0.00,10,10,0.50,0.50,11,9,0.55,0.45,18,2,0.90,0.10,13,7,0.65,0.35,20,0,1.00,0.00,14,6,0.70,0.30,12,8,0.60,0.40,20,0,1.00,0.00,138,42,0.72,0.22
big_char_1194.png,Y,9,7,0.56,0.44,16,0,1.00,0.00,13,3,0.81,0.19,8,8,0.50,0.50,14,2,0.88,0.12,7,9,0.44,0.56,14,2,0.88,0.12,3,13,0.19,0.81,15,1,0.94,0.06,99,45,0.54,0.25
big_char_1180.png,S,44,4,0.92,0.08,33,15,0.69,0.31,46,2,0.96,0.04,46,2,0.96,0.04,35,13,0.73,0.27,48,0,1.00,0.00,37,11,0.77,0.23,31,17,0.65,0.35,47,1,0.98,0.02,367,65,0.77,0.14
big_char_1816.png,,9,3,0.75,0.25,4,8,0.33,0.67,9,3,0.75,0.25,4,8,0.33,0.67,7,5,0.58,0.42,9,3,0.75,0.25,8,4,0.67,0.33,1,11,0.08,0.92,3,9,0.25,0.75,54,54,0.38,0.38
big_char_1802.png,,11,4,0.73,0.27,9,6,0.60,0.40,11,4,0.73,0.27,7,8,0.47,0.53,6,9,0.40,0.60,3,12,0.20,0.80,8,7,0.53,0.47,6,9,0.40,0.60,8,7,0.53,0.47,69,66,0.39,0.38
big_char_159.png,X,14,2,0.88,0.12,14,2,0.88,0.12,12,4,0.75,0.25,15,1,0.94,0.06,5,11,0.31,0.69,11,5,0.69,0.31,10,6,0.62,0.38,10,6,0.62,0.38,9,7,0.56,0.44,100,44,0.51,0.22
big_char_1369.png,,15,10,0.60,0.40,25,0,1.00,0.00,23,2,0.92,0.08,14,11,0.56,0.44,9,16,0.36,0.64,16,9,0.64,0.36,14,11,0.56,0.44,11,14,0.44,0.56,15,10,0.60,0.40,142,83,0.55,0.32
big_char_603.png,O,42,6,0.88,0.12,34,14,0.71,0.29,46,2,0.96,0.04,37,11,0.77,0.23,40,8,0.83,0.17,36,12,0.75,0.25,42,6,0.88,0.12,34,14,0.71,0.29,45,3,0.94,0.06,356,76,0.72,0.15
big_char_617.png,V,10,6,0.62,0.38,16,0,1.00,0.00,14,2,0.88,0.12,8,8,0.50,0.50,16,0,1.00,0.00,8,8,0.50,0.50,12,4,0.75,0.25,6,10,0.38,0.62,15,1,0.94,0.06,105,39,0.58,0.21
big_char_830.png,C,15,1,0.94,0.06,6,10,0.38,0.62,13,3,0.81,0.19,7,9,0.44,0.56,14,2,0.88,0.12,16,0,1.00,0.00,14,2,0.88,0.12,9,7,0.56,0.44,8,8,0.50,0.50,102,42,0.61,0.25
big_char_1382.png,,16,4,0.80,0.20,11,9,0.55,0.45,13,7,0.65,0.35,11,9,0.55,0.45,13,7,0.65,0.35,12,8,0.60,0.40,11,9,0.55,0.45,7,13,0.35,0.65,10,10,0.50,0.50,104,76,0.50,0.37
big_char_818.png,G,20,0,1.00,0.00,13,7,0.65,0.35,12,8,0.60,0.40,12,8,0.60,0.40,15,5,0.75,0.25,15,5,0.75,0.25,15,5,0.75,0.25,13,7,0.65,0.35,5,15,0.25,0.75,120,60,0.54,0.27
big_char_1221.png,I,14,6,0.70,0.30,18,2,0.90,0.10,19,1,0.95,0.05,7,13,0.35,0.65,9,11,0.45,0.55,19,1,0.95,0.05,5,15,0.25,0.75,11,9,0.55,0.45,16,4,0.80,0.20,118,62,0.56,0.30
big_char_993.png,Y,48,0,1.00,0.00,48,0,1.00,0.00,48,0,1.00,0.00,46,2,0.96,0.04,27,21,0.56,0.44,39,9,0.81,0.19,48,0,1.00,0.00,31,17,0.65,0.35,43,5,0.90,0.10,378,54,0.80,0.11
big_char_1553.png,F,10,10,0.50,0.50,9,11,0.45,0.55,11,9,0.55,0.45,11,9,0.55,0.45,6,14,0.30,0.70,11,9,0.55,0.45,9,11,0.45,0.55,10,10,0.50,0.50,20,0,1.00,0.00,97,83,0.54,0.46
big_char_38.png,A,24,0,1.00,0.00,16,8,0.67,0.33,13,11,0.54,0.46,15,9,0.62,0.38,15,9,0.62,0.38,13,11,0.54,0.46,17,7,0.71,0.29,24,0,1.00,0.00,16,8,0.67,0.33,153,63,0.61,0.25
big_char_763.png,,10,6,0.62,0.38,16,0,1.00,0.00,16,0,1.00,0.00,8,8,0.50,0.50,16,0,1.00,0.00,8,8,0.50,0.50,10,6,0.62,0.38,11,5,0.69,0.31,7,9,0.44,0.56,102,42,0.52,0.21
big_char_1584.png,,36,12,0.75,0.25,28,20,0.58,0.42,40,8,0.83,0.17,39,9,0.81,0.19,15,33,0.31,0.69,48,0,1.00,0.00,36,12,0.75,0.25,34,14,0.71,0.29,48,0,1.00,0.00,324,108,0.66,0.22
big_char_1590.png,P,14,1,0.93,0.07,7,8,0.47,0.53,15,0,1.00,0.00,11,4,0.73,0.27,6,9,0.40,0.60,6,9,0.40,0.60,5,10,0.33,0.67,8,7,0.53,0.47,4,11,0.27,0.73,76,59,0.43,0.34
big_char_978.png,C,39,9,0.81,0.19,29,19,0.60,0.40,40,8,0.83,0.17,28,20,0.58,0.42,48,0,1.00,0.00,48,0,1.00,0.00,41,7,0.85,0.15,32,16,0.67,0.33,45,3,0.94,0.06,350,82,0.71,0.17
big_char_1745.png,F,19,1,0.95,0.05,9,11,0.45,0.55,7,13,0.35,0.65,10,10,0.50,0.50,8,12,0.40,0.60,13,7,0.65,0.35,10,10,0.50,0.50,20,0,1.00,0.00,20,0,1.00,0.00,116,64,0.55,0.30
big_char_1751.png,P,39,9,0.81,0.19,27,21,0.56,0.44,40,8,0.83,0.17,33,15,0.69,0.31,33,15,0.69,0.31,48,0,1.00,0.00,40,8,0.83,0.17,48,0,1.00,0.00,48,0,1.00,0.00,356,76,0.71,0.15
big_char_575.png,,11,9,0.55,0.45,20,0,1.00,0.00,17,3,0.85,0.15,11,9,0.55,0.45,8,12,0.40,0.60,16,4,0.80,0.20,11,9,0.55,0.45,8,12,0.40,0.60,14,6,0.70,0.30,116,64,0.60,0.33
big_char_1779.png,F,42,6,0.88,0.12,35,13,0.73,0.27,42,6,0.88,0.12,37,11,0.77,0.23,19,29,0.40,0.60,38,10,0.79,0.21,38,10,0.79,0.21,40,8,0.83,0.17,47,1,0.98,0.02,338,94,0.71,0.20
big_char_561.png,,42,6,0.88,0.12,40,8,0.83,0.17,40,8,0.83,0.17,48,0,1.00,0.00,12,36,0.25,0.75,47,1,0.98,0.02,44,4,0.92,0.08,29,19,0.60,0.40,47,1,0.98,0.02,349,83,0.70,0.17
big_char_1786.png,,41,7,0.85,0.15,40,8,0.83,0.17,41,7,0.85,0.15,45,3,0.94,0.06,23,25,0.48,0.52,48,0,1.00,0.00,42,6,0.88,0.12,29,19,0.60,0.40,48,0,1.00,0.00,357,75,0.71,0.15
big_char_1792.png,W,48,0,1.00,0.00,44,4,0.92,0.08,47,1,0.98,0.02,33,15,0.69,0.31,29,19,0.60,0.40,35,13,0.73,0.27,39,9,0.81,0.19,32,16,0.67,0.33,46,2,0.96,0.04,353,79,0.74,0.17
big_char_1784.png,,24,1,0.96,0.04,14,11,0.56,0.44,15,10,0.60,0.40,13,12,0.52,0.48,18,7,0.72,0.28,15,10,0.60,0.40,17,8,0.68,0.32,11,14,0.44,0.56,8,17,0.32,0.68,135,90,0.53,0.35
big_char_588.png,,10,6,0.62,0.38,16,0,1.00,0.00,14,2,0.88,0.12,7,9,0.44,0.56,15,1,0.94,0.06,11,5,0.69,0.31,15,1,0.94,0.06,9,7,0.56,0.44,10,6,0.62,0.38,107,37,0.74,0.26
big_char_1790.png,F,19,6,0.76,0.24,10,15,0.40,0.60,16,9,0.64,0.36,10,15,0.40,0.60,11,14,0.44,0.56,16,9,0.64,0.36,14,11,0.56,0.44,25,0,1.00,0.00,25,0,1.00,0.00,146,79,0.65,0.35
big_char_563.png,,9,7,0.56,0.44,11,5,0.69,0.31,16,0,1.00,0.00,8,8,0.50,0.50,11,5,0.69,0.31,11,5,0.69,0.31,8,8,0.50,0.50,11,5,0.69,0.31,6,10,0.38,0.62,91,53,0.50,0.29
big_char_1009.png,S,16,0,1.00,0.00,7,9,0.44,0.56,8,8,0.50,0.50,16,0,1.00,0.00,9,7,0.56,0.44,11,5,0.69,0.31,10,6,0.62,0.38,8,8,0.50,0.50,8,8,0.50,0.50,93,51,0.51,0.28
big_char_1021.png,F,7,5,0.58,0.42,7,5,0.58,0.42,5,7,0.42,0.58,11,1,0.92,0.08,4,8,0.33,0.67,4,8,0.33,0.67,11,1,0.92,0.08,3,9,0.25,0.75,6,6,0.50,0.50,58,50,0.41,0.35
big_char_1747.png,K,40,8,0.83,0.17,46,2,0.96,0.04,46,2,0.96,0.04,32,16,0.67,0.33,23,25,0.48,0.52,45,3,0.94,0.06,44,4,0.92,0.08,23,25,0.48,0.52,42,6,0.88,0.12,341,91,0.69,0.18
big_char_1753.png,R,35,13,0.73,0.27,21,27,0.44,0.56,40,8,0.83,0.17,44,4,0.92,0.08,17,31,0.35,0.65,48,0,1.00,0.00,45,3,0.94,0.06,35,13,0.73,0.27,39,9,0.81,0.19,324,108,0.62,0.21
big_char_1586.png,,42,6,0.88,0.12,37,11,0.77,0.23,47,1,0.98,0.02,40,8,0.83,0.17,28,20,0.58,0.42,48,0,1.00,0.00,46,2,0.96,0.04,39,9,0.81,0.19,42,6,0.88,0.12,369,63,0.75,0.13
big_char_952.png,,22,3,0.88,0.12,15,10,0.60,0.40,23,2,0.92,0.08,13,12,0.52,0.48,15,10,0.60,0.40,20,5,0.80,0.20,18,7,0.72,0.28,14,11,0.56,0.44,11,14,0.44,0.56,151,74,0.63,0.31
big_char_1592.png,,44,4,0.92,0.08,22,26,0.46,0.54,35,13,0.73,0.27,40,8,0.83,0.17,21,27,0.44,0.56,39,9,0.81,0.19,48,0,1.00,0.00,31,17,0.65,0.35,44,4,0.92,0.08,324,108,0.68,0.23
big_char_1579.png,,11,5,0.69,0.31,14,2,0.88,0.12,14,2,0.88,0.12,7,9,0.44,0.56,16,0,1.00,0.00,12,4,0.75,0.25,12,4,0.75,0.25,5,11,0.31,0.69,4,12,0.25,0.75,95,49,0.52,0.27
big_char_761.png,,14,6,0.70,0.30,20,0,1.00,0.00,20,0,1.00,0.00,10,10,0.50,0.50,17,3,0.85,0.15,17,3,0.85,0.15,12,8,0.60,0.40,14,6,0.70,0.30,15,5,0.75,0.25,139,41,0.72,0.21
big_char_991.png,,47,1,0.98,0.02,47,1,0.98,0.02,43,5,0.90,0.10,34,14,0.71,0.29,21,27,0.44,0.56,43,5,0.90,0.10,36,12,0.75,0.25,35,13,0.73,0.27,45,3,0.94,0.06,351,81,0.74,0.17
big_char_749.png,C,18,2,0.90,0.10,7,13,0.35,0.65,19,1,0.95,0.05,10,10,0.50,0.50,20,0,1.00,0.00,20,0,1.00,0.00,14,6,0.70,0.30,12,8,0.60,0.40,12,8,0.60,0.40,132,48,0.63,0.23
big_char_1223.png,R,13,3,0.81,0.19,7,9,0.44,0.56,14,2,0.88,0.12,7,9,0.44,0.56,6,10,0.38,0.62,15,1,0.94,0.06,11,5,0.69,0.31,7,9,0.44,0.56,14,2,0.88,0.12,94,50,0.56,0.30
big_char_985.png,D,14,2,0.88,0.12,7,9,0.44,0.56,16,0,1.00,0.00,9,7,0.56,0.44,12,4,0.75,0.25,6,10,0.38,0.62,7,9,0.44,0.56,9,7,0.56,0.44,6,10,0.38,0.62,86,58,0.47,0.32
big_char_1551.png,,12,0,1.00,0.00,7,5,0.58,0.42,5,7,0.42,0.58,9,3,0.75,0.25,1,11,0.08,0.92,4,8,0.33,0.67,7,5,0.58,0.42,6,6,0.50,0.50,3,9,0.25,0.75,54,54,0.35,0.35
big_char_826.png,,48,0,1.00,0.00,41,7,0.85,0.15,48,0,1.00,0.00,47,1,0.98,0.02,19,29,0.40,0.60,48,0,1.00,0.00,48,0,1.00,0.00,34,14,0.71,0.29,46,2,0.96,0.04,379,53,0.77,0.11
big_char_198.png,Y,14,6,0.70,0.30,20,0,1.00,0.00,12,8,0.60,0.40,11,9,0.55,0.45,12,8,0.60,0.40,17,3,0.85,0.15,20,0,1.00,0.00,11,9,0.55,0.45,20,0,1.00,0.00,137,43,0.76,0.24
big_char_1380.png,S,12,3,0.80,0.20,14,1,0.93,0.07,15,0,1.00,0.00,7,8,0.47,0.53,15,0,1.00,0.00,15,0,1.00,0.00,5,10,0.33,0.67,5,10,0.33,0.67,1,14,0.07,0.93,89,46,0.56,0.29
big_char_832.png,U,45,3,0.94,0.06,45,3,0.94,0.06,44,4,0.92,0.08,42,6,0.88,0.12,36,12,0.75,0.25,40,8,0.83,0.17,48,0,1.00,0.00,42,6,0.88,0.12,48,0,1.00,0.00,390,42,0.79,0.09
big_char_615.png,,12,8,0.60,0.40,18,2,0.90,0.10,17,3,0.85,0.15,11,9,0.55,0.45,7,13,0.35,0.65,6,14,0.30,0.70,20,0,1.00,0.00,13,7,0.65,0.35,17,3,0.85,0.15,121,59,0.63,0.31
big_char_1419.png,R,16,4,0.80,0.20,9,11,0.45,0.55,10,10,0.50,0.50,8,12,0.40,0.60,8,12,0.40,0.60,15,5,0.75,0.25,12,8,0.60,0.40,13,7,0.65,0.35,10,10,0.50,0.50,101,79,0.48,0.38
big_char_1431.png,,12,8,0.60,0.40,9,11,0.45,0.55,15,5,0.75,0.25,15,5,0.75,0.25,8,12,0.40,0.60,10,10,0.50,0.50,14,6,0.70,0.30,10,10,0.50,0.50,18,2,0.90,0.10,111,69,0.50,0.31
big_char_1343.png,,17,7,0.71,0.29,16,8,0.67,0.33,16,8,0.67,0.33,13,11,0.54,0.46,8,16,0.33,0.67,13,11,0.54,0.46,16,8,0.67,0.33,17,7,0.71,0.29,15,9,0.62,0.38,131,85,0.56,0.36
big_char_1425.png,,19,5,0.79,0.21,24,0,1.00,0.00,22,2,0.92,0.08,15,9,0.62,0.38,16,8,0.67,0.33,16,8,0.67,0.33,13,11,0.54,0.46,8,16,0.33,0.67,9,15,0.38,0.62,142,74,0.53,0.28
big_char_1800.png,V,36,12,0.75,0.25,38,10,0.79,0.21,39,9,0.81,0.19,36,12,0.75,0.25,38,10,0.79,0.21,41,7,0.85,0.15,44,4,0.92,0.08,23,25,0.48,0.52,48,0,1.00,0.00,343,89,0.66,0.17
