Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
little_char_1227_t.png,t,b,407,1,1.00,0.00,406,2,1.00,0.00,408,0,1.00,0.00,371,37,0.91,0.09,325,83,0.80,0.20,408,0,1.00,0.00,390,18,0.96,0.04,391,17,0.96,0.04,408,0,1.00,0.00,3514,158,0.92,0.04
little_char_1373_y.png,y,s,128,2,0.98,0.02,94,36,0.72,0.28,81,49,0.62,0.38,130,0,1.00,0.00,108,22,0.83,0.17,68,62,0.52,0.48,108,22,0.83,0.17,97,33,0.75,0.25,77,53,0.59,0.41,891,279,0.72,0.23
little_char_568_h.png,h,,78,39,0.67,0.33,117,0,1.00,0.00,117,0,1.00,0.00,66,51,0.56,0.44,87,30,0.74,0.26,70,47,0.60,0.40,64,53,0.55,0.45,104,13,0.89,0.11,79,38,0.68,0.32,782,271,0.72,0.25
little_char_1039_v.png,v,,422,10,0.98,0.02,432,0,1.00,0.00,431,1,1.00,0.00,379,53,0.88,0.12,351,81,0.81,0.19,432,0,1.00,0.00,331,101,0.77,0.23,397,35,0.92,0.08,432,0,1.00,0.00,3607,281,0.91,0.07
little_char_866_l.png,l,,414,0,1.00,0.00,380,34,0.92,0.08,414,0,1.00,0.00,414,0,1.00,0.00,349,65,0.84,0.16,414,0,1.00,0.00,414,0,1.00,0.00,414,0,1.00,0.00,414,0,1.00,0.00,3627,99,0.95,0.03
little_char_1183_q.png,q,,369,39,0.90,0.10,399,9,0.98,0.02,408,0,1.00,0.00,328,80,0.80,0.20,350,58,0.86,0.14,408,0,1.00,0.00,377,31,0.92,0.08,388,20,0.95,0.05,408,0,1.00,0.00,3435,237,0.90,0.06
little_char_228_s.png,s,,406,8,0.98,0.02,387,27,0.93,0.07,414,0,1.00,0.00,378,36,0.91,0.09,334,80,0.81,0.19,414,0,1.00,0.00,401,13,0.97,0.03,398,16,0.96,0.04,414,0,1.00,0.00,3546,180,0.92,0.05
little_char_1019_d.png,d,d,391,0,1.00,0.00,391,0,1.00,0.00,391,0,1.00,0.00,360,31,0.92,0.08,314,77,0.80,0.20,391,0,1.00,0.00,320,71,0.82,0.18,332,59,0.85,0.15,391,0,1.00,0.00,3281,238,0.87,0.06
little_char_1198_e.png,e,,75,25,0.75,0.25,58,42,0.58,0.42,65,35,0.65,0.35,45,55,0.45,0.55,69,31,0.69,0.31,95,5,0.95,0.05,87,13,0.87,0.13,71,29,0.71,0.29,81,19,0.81,0.19,646,254,0.72,0.28
little_char_637_k.png,k,,101,31,0.77,0.23,132,0,1.00,0.00,132,0,1.00,0.00,77,55,0.58,0.42,78,54,0.59,0.41,132,0,1.00,0.00,61,71,0.46,0.54,83,49,0.63,0.37,96,36,0.73,0.27,892,296,0.73,0.24
little_char_206_y.png,y,y,382,26,0.94,0.06,379,29,0.93,0.07,408,0,1.00,0.00,386,22,0.95,0.05,277,131,0.68,0.32,408,0,1.00,0.00,405,3,0.99,0.01,330,78,0.81,0.19,408,0,1.00,0.00,3383,289,0.87,0.07
little_char_233_p.png,p,p,413,1,1.00,0.00,369,45,0.89,0.11,414,0,1.00,0.00,414,0,1.00,0.00,240,174,0.58,0.42,414,0,1.00,0.00,414,0,1.00,0.00,364,50,0.88,0.12,414,0,1.00,0.00,3456,270,0.90,0.07
little_char_1106_q.png,q,,46,45,0.51,0.49,54,37,0.59,0.41,41,50,0.45,0.55,84,7,0.92,0.08,55,36,0.60,0.40,20,71,0.22,0.78,91,0,1.00,0.00,47,44,0.52,0.48,75,16,0.82,0.18,513,306,0.63,0.37
little_char_107_y.png,y,,407,1,1.00,0.00,375,33,0.92,0.08,405,3,0.99,0.01,408,0,1.00,0.00,275,133,0.67,0.33,395,13,0.97,0.03,404,4,0.99,0.01,319,89,0.78,0.22,401,7,0.98,0.02,3389,283,0.89,0.07
little_char_1078_e.png,e,,53,3,0.95,0.05,27,29,0.48,0.52,28,28,0.50,0.50,25,31,0.45,0.55,22,34,0.39,0.61,37,19,0.66,0.34,27,29,0.48,0.52,41,15,0.73,0.27,51,5,0.91,0.09,311,193,0.54,0.34
little_char_1342_c.png,c,,59,4,0.94,0.06,30,33,0.48,0.52,38,25,0.60,0.40,38,25,0.60,0.40,61,2,0.97,0.03,63,0,1.00,0.00,33,30,0.52,0.48,36,27,0.57,0.43,33,30,0.52,0.48,391,176,0.59,0.26
little_char_960_o.png,o,,431,1,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,399,33,0.92,0.08,332,100,0.77,0.23,432,0,1.00,0.00,428,4,0.99,0.01,353,79,0.82,0.18,432,0,1.00,0.00,3671,217,0.94,0.06
little_char_1187_u.png,u,u,408,0,1.00,0.00,408,0,1.00,0.00,408,0,1.00,0.00,408,0,1.00,0.00,301,107,0.74,0.26,382,26,0.94,0.06,408,0,1.00,0.00,331,77,0.81,0.19,402,6,0.99,0.01,3456,216,0.91,0.06
little_char_11_k.png,k,,89,31,0.74,0.26,115,5,0.96,0.04,120,0,1.00,0.00,54,66,0.45,0.55,72,48,0.60,0.40,120,0,1.00,0.00,96,24,0.80,0.20,67,53,0.56,0.44,79,41,0.66,0.34,812,268,0.73,0.24
little_char_973_e.png,e,e,414,0,1.00,0.00,411,3,0.99,0.01,414,0,1.00,0.00,322,92,0.78,0.22,344,70,0.83,0.17,414,0,1.00,0.00,372,42,0.90,0.10,379,35,0.92,0.08,414,0,1.00,0.00,3484,242,0.91,0.06
little_char_871_u.png,u,,399,15,0.96,0.04,409,5,0.99,0.01,414,0,1.00,0.00,344,70,0.83,0.17,342,72,0.83,0.17,414,0,1.00,0.00,372,42,0.90,0.10,365,49,0.88,0.12,414,0,1.00,0.00,3473,253,0.91,0.07
little_char_1065_w.png,w,w,432,0,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,348,84,0.81,0.19,286,146,0.66,0.34,403,29,0.93,0.07,387,45,0.90,0.10,362,70,0.84,0.16,432,0,1.00,0.00,3514,374,0.90,0.10
little_char_658_e.png,e,e,414,0,1.00,0.00,411,3,0.99,0.01,414,0,1.00,0.00,367,47,0.89,0.11,288,126,0.70,0.30,414,0,1.00,0.00,396,18,0.96,0.04,359,55,0.87,0.13,414,0,1.00,0.00,3477,249,0.91,0.06
little_char_1152_y.png,y,y,431,1,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,414,18,0.96,0.04,255,177,0.59,0.41,432,0,1.00,0.00,413,19,0.96,0.04,337,95,0.78,0.22,432,0,1.00,0.00,3578,310,0.90,0.08
little_char_1194_h.png,h,h,60,21,0.74,0.26,81,0,1.00,0.00,81,0,1.00,0.00,52,29,0.64,0.36,47,34,0.58,0.42,38,43,0.47,0.53,43,38,0.53,0.47,69,12,0.85,0.15,47,34,0.58,0.42,518,211,0.64,0.26
little_char_1122_q.png,q,,76,36,0.68,0.32,68,44,0.61,0.39,73,39,0.65,0.35,91,21,0.81,0.19,86,26,0.77,0.23,44,68,0.39,0.61,109,3,0.97,0.03,80,32,0.71,0.29,64,48,0.57,0.43,691,317,0.62,0.28
little_char_1411_d.png,d,a,80,0,1.00,0.00,80,0,1.00,0.00,48,32,0.60,0.40,56,24,0.70,0.30,48,32,0.60,0.40,44,36,0.55,0.45,51,29,0.64,0.36,45,35,0.56,0.44,32,48,0.40,0.60,484,236,0.62,0.30
little_char_1096_n.png,n,a,414,0,1.00,0.00,414,0,1.00,0.00,413,1,1.00,0.00,336,78,0.81,0.19,326,88,0.79,0.21,414,0,1.00,0.00,398,16,0.96,0.04,401,13,0.97,0.03,414,0,1.00,0.00,3530,196,0.92,0.05
little_char_1379_d.png,d,a,99,0,1.00,0.00,99,0,1.00,0.00,62,37,0.63,0.37,85,14,0.86,0.14,61,38,0.62,0.38,50,49,0.51,0.49,53,46,0.54,0.46,65,34,0.66,0.34,60,39,0.61,0.39,634,257,0.71,0.29
little_char_1141_e.png,e,a,65,7,0.90,0.10,37,35,0.51,0.49,29,43,0.40,0.60,27,45,0.38,0.62,46,26,0.64,0.36,69,3,0.96,0.04,37,35,0.51,0.49,46,26,0.64,0.36,50,22,0.69,0.31,406,242,0.56,0.33
little_char_544_v.png,v,,46,34,0.57,0.42,80,0,1.00,0.00,51,29,0.64,0.36,45,35,0.56,0.44,69,11,0.86,0.14,44,36,0.55,0.45,58,22,0.72,0.28,33,47,0.41,0.59,79,1,0.99,0.01,505,215,0.61,0.26
little_char_645_a.png,a,,61,20,0.75,0.25,37,44,0.46,0.54,56,25,0.69,0.31,49,32,0.60,0.40,69,12,0.85,0.15,35,46,0.43,0.57,49,32,0.60,0.40,44,37,0.54,0.46,45,36,0.56,0.44,445,284,0.55,0.35
little_char_1008_m.png,m,,431,1,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,359,73,0.83,0.17,256,176,0.59,0.41,426,6,0.99,0.01,382,50,0.88,0.12,361,71,0.84,0.16,432,0,1.00,0.00,3511,377,0.89,0.10
little_char_267_n.png,n,n,404,4,0.99,0.01,395,13,0.97,0.03,408,0,1.00,0.00,324,84,0.79,0.21,332,76,0.81,0.19,408,0,1.00,0.00,400,8,0.98,0.02,402,6,0.99,0.01,408,0,1.00,0.00,3481,191,0.93,0.05
little_char_188_s.png,s,,72,0,1.00,0.00,46,26,0.64,0.36,27,45,0.38,0.62,72,0,1.00,0.00,61,11,0.85,0.15,35,37,0.49,0.51,47,25,0.65,0.35,45,27,0.62,0.38,30,42,0.42,0.58,435,213,0.58,0.28
little_char_944_x.png,x,a,70,18,0.80,0.20,83,5,0.94,0.06,52,36,0.59,0.41,66,22,0.75,0.25,37,51,0.42,0.58,88,0,1.00,0.00,61,27,0.69,0.31,69,19,0.78,0.22,79,9,0.90,0.10,605,187,0.71,0.22
little_char_1115_z.png,z,,66,33,0.67,0.33,56,43,0.57,0.43,99,0,1.00,0.00,65,34,0.66,0.34,35,64,0.35,0.65,68,31,0.69,0.31,49,50,0.49,0.51,72,27,0.73,0.27,81,18,0.82,0.18,591,300,0.60,0.31
little_char_1094_l.png,l,,413,1,1.00,0.00,406,8,0.98,0.02,414,0,1.00,0.00,414,0,1.00,0.00,353,61,0.85,0.15,414,0,1.00,0.00,414,0,1.00,0.00,393,21,0.95,0.05,414,0,1.00,0.00,3635,91,0.96,0.02
little_char_1133_y.png,y,,423,9,0.98,0.02,432,0,1.00,0.00,432,0,1.00,0.00,378,54,0.88,0.12,320,112,0.74,0.26,432,0,1.00,0.00,395,37,0.91,0.09,333,99,0.77,0.23,432,0,1.00,0.00,3577,311,0.92,0.08
little_char_1214_z.png,z,,85,47,0.64,0.36,80,52,0.61,0.39,132,0,1.00,0.00,111,21,0.84,0.16,59,73,0.45,0.55,90,42,0.68,0.32,99,33,0.75,0.25,77,55,0.58,0.42,128,4,0.97,0.03,861,327,0.70,0.27
little_char_929_t.png,t,,384,7,0.98,0.02,356,35,0.91,0.09,391,0,1.00,0.00,383,8,0.98,0.02,297,94,0.76,0.24,391,0,1.00,0.00,389,2,0.99,0.01,379,12,0.97,0.03,391,0,1.00,0.00,3361,158,0.89,0.04
little_char_763_g.png,g,a,71,37,0.66,0.34,56,52,0.52,0.48,80,28,0.74,0.26,101,7,0.94,0.06,77,31,0.71,0.29,58,50,0.54,0.46,89,19,0.82,0.18,88,20,0.81,0.19,54,54,0.50,0.50,674,298,0.63,0.28
little_char_1232_y.png,y,,387,21,0.95,0.05,401,7,0.98,0.02,406,2,1.00,0.00,356,52,0.87,0.13,287,121,0.70,0.30,408,0,1.00,0.00,383,25,0.94,0.06,320,88,0.78,0.22,408,0,1.00,0.00,3356,316,0.88,0.08
little_char_265_l.png,l,a,390,1,1.00,0.00,377,14,0.96,0.04,391,0,1.00,0.00,391,0,1.00,0.00,336,55,0.86,0.14,391,0,1.00,0.00,391,0,1.00,0.00,362,29,0.93,0.07,391,0,1.00,0.00,3420,99,0.91,0.03
little_char_1092_j.png,j,,391,0,1.00,0.00,368,23,0.94,0.06,391,0,1.00,0.00,391,0,1.00,0.00,343,48,0.88,0.12,391,0,1.00,0.00,372,19,0.95,0.05,338,53,0.86,0.14,391,0,1.00,0.00,3376,143,0.90,0.04
little_char_875_p.png,p,,59,25,0.70,0.30,52,32,0.62,0.38,47,37,0.56,0.44,30,54,0.36,0.64,58,26,0.69,0.31,62,22,0.74,0.26,41,43,0.49,0.51,84,0,1.00,0.00,84,0,1.00,0.00,517,239,0.68,0.32
little_char_516_o.png,o,,431,1,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,400,32,0.93,0.07,366,66,0.85,0.15,432,0,1.00,0.00,402,30,0.93,0.07,355,77,0.82,0.18,432,0,1.00,0.00,3682,206,0.93,0.05
little_char_932_w.png,w,,408,0,1.00,0.00,408,0,1.00,0.00,404,4,0.99,0.01,339,69,0.83,0.17,274,134,0.67,0.33,335,73,0.82,0.18,408,0,1.00,0.00,407,1,1.00,0.00,408,0,1.00,0.00,3391,281,0.89,0.07
little_char_464_v.png,v,,62,46,0.57,0.43,108,0,1.00,0.00,82,26,0.76,0.24,64,44,0.59,0.41,91,17,0.84,0.16,69,39,0.64,0.36,99,9,0.92,0.08,52,56,0.48,0.52,108,0,1.00,0.00,735,237,0.70,0.23
little_char_1002_f.png,f,e,88,16,0.85,0.15,68,36,0.65,0.35,55,49,0.53,0.47,52,52,0.50,0.50,89,15,0.86,0.14,93,11,0.89,0.11,62,42,0.60,0.40,61,43,0.59,0.41,99,5,0.95,0.05,667,269,0.68,0.27
little_char_909_q.png,q,,43,41,0.51,0.49,45,39,0.54,0.46,33,51,0.39,0.61,69,15,0.82,0.18,39,45,0.46,0.54,34,50,0.40,0.60,84,0,1.00,0.00,44,40,0.52,0.48,71,13,0.85,0.15,462,294,0.54,0.35
little_char_1408_e.png,e,o,59,13,0.82,0.18,35,37,0.49,0.51,41,31,0.57,0.43,31,41,0.43,0.57,43,29,0.60,0.40,67,5,0.93,0.07,43,29,0.60,0.40,44,28,0.61,0.39,48,24,0.67,0.33,411,237,0.59,0.34
little_char_1291_m.png,m,m,428,4,0.99,0.01,432,0,1.00,0.00,432,0,1.00,0.00,333,99,0.77,0.23,262,170,0.61,0.39,432,0,1.00,0.00,407,25,0.94,0.06,402,30,0.93,0.07,432,0,1.00,0.00,3560,328,0.92,0.08
little_char_324_m.png,m,m,81,45,0.64,0.36,99,27,0.79,0.21,125,1,0.99,0.01,91,35,0.72,0.28,69,57,0.55,0.45,74,52,0.59,0.41,116,10,0.92,0.08,117,9,0.93,0.07,86,40,0.68,0.32,858,276,0.67,0.22
little_char_499_a.png,a,,65,25,0.72,0.28,55,35,0.61,0.39,82,8,0.91,0.09,49,41,0.54,0.46,84,6,0.93,0.07,39,51,0.43,0.57,73,17,0.81,0.19,61,29,0.68,0.32,43,47,0.48,0.52,551,259,0.59,0.28
little_char_486_q.png,q,,407,1,1.00,0.00,291,117,0.71,0.29,405,3,0.99,0.01,408,0,1.00,0.00,294,114,0.72,0.28,408,0,1.00,0.00,408,0,1.00,0.00,397,11,0.97,0.03,408,0,1.00,0.00,3426,246,0.90,0.06
little_char_930_u.png,u,,384,7,0.98,0.02,372,19,0.95,0.05,390,1,1.00,0.00,296,95,0.76,0.24,310,81,0.79,0.21,391,0,1.00,0.00,386,5,0.99,0.01,385,6,0.98,0.02,391,0,1.00,0.00,3305,214,0.88,0.06
little_char_767_c.png,c,a,80,0,1.00,0.00,49,31,0.61,0.39,62,18,0.78,0.23,48,32,0.60,0.40,67,13,0.84,0.16,80,0,1.00,0.00,40,40,0.50,0.50,41,39,0.51,0.49,45,35,0.56,0.44,512,208,0.64,0.26
little_char_1246_t.png,t,,61,9,0.87,0.13,46,24,0.66,0.34,70,0,1.00,0.00,41,29,0.59,0.41,37,33,0.53,0.47,44,26,0.63,0.37,52,18,0.74,0.26,53,17,0.76,0.24,70,0,1.00,0.00,474,156,0.64,0.21
little_char_1293_o.png,o,,432,0,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,428,4,0.99,0.01,269,163,0.62,0.38,411,21,0.95,0.05,429,3,0.99,0.01,365,67,0.84,0.16,430,2,1.00,0.00,3628,260,0.93,0.07
little_char_211_a.png,a,c,84,37,0.69,0.31,67,54,0.55,0.45,120,1,0.99,0.01,76,45,0.63,0.37,92,29,0.76,0.24,81,40,0.67,0.33,110,11,0.91,0.09,93,28,0.77,0.23,74,47,0.61,0.39,797,292,0.69,0.25
little_char_69_j.png,j,,56,0,1.00,0.00,56,0,1.00,0.00,38,18,0.68,0.32,46,10,0.82,0.18,56,0,1.00,0.00,30,26,0.54,0.46,41,15,0.73,0.27,27,29,0.48,0.52,19,37,0.34,0.66,369,135,0.64,0.23
little_char_676_y.png,y,,62,42,0.60,0.40,95,9,0.91,0.09,40,64,0.38,0.62,96,8,0.92,0.08,76,28,0.73,0.27,48,56,0.46,0.54,67,37,0.64,0.36,72,32,0.69,0.31,52,52,0.50,0.50,608,328,0.58,0.32
little_char_665_s.png,s,,391,0,1.00,0.00,391,0,1.00,0.00,391,0,1.00,0.00,367,24,0.94,0.06,307,84,0.79,0.21,391,0,1.00,0.00,349,42,0.89,0.11,309,82,0.79,0.21,391,0,1.00,0.00,3287,232,0.87,0.06
little_char_281_z.png,z,a,111,19,0.85,0.15,79,51,0.61,0.39,126,4,0.97,0.03,96,34,0.74,0.26,76,54,0.58,0.42,100,30,0.77,0.23,102,28,0.78,0.22,96,34,0.74,0.26,111,19,0.85,0.15,897,273,0.74,0.23
little_char_272_b.png,b,b,83,34,0.71,0.29,117,0,1.00,0.00,117,0,1.00,0.00,77,40,0.66,0.34,82,35,0.70,0.30,86,31,0.74,0.26,60,57,0.51,0.49,84,33,0.72,0.28,79,38,0.68,0.32,785,268,0.75,0.25
little_char_1139_e.png,e,,54,10,0.84,0.16,31,33,0.48,0.52,27,37,0.42,0.58,22,42,0.34,0.66,33,31,0.52,0.48,49,15,0.77,0.23,45,19,0.70,0.30,33,31,0.52,0.48,43,21,0.67,0.33,337,239,0.52,0.37
little_char_335_g.png,g,,69,27,0.72,0.28,47,49,0.49,0.51,48,48,0.50,0.50,95,1,0.99,0.01,88,8,0.92,0.08,47,49,0.49,0.51,80,16,0.83,0.17,72,24,0.75,0.25,49,47,0.51,0.49,595,269,0.62,0.28
little_char_752_h.png,h,h,84,24,0.78,0.22,100,8,0.93,0.07,108,0,1.00,0.00,72,36,0.67,0.33,74,34,0.69,0.31,56,52,0.52,0.48,65,43,0.60,0.40,97,11,0.90,0.10,72,36,0.67,0.33,728,244,0.75,0.25
little_char_1334_x.png,x,x,431,1,1.00,0.00,432,0,1.00,0.00,430,2,1.00,0.00,419,13,0.97,0.03,285,147,0.66,0.34,432,0,1.00,0.00,425,7,0.98,0.02,395,37,0.91,0.09,431,1,1.00,0.00,3680,208,0.95,0.05
little_char_1371_x.png,x,x,391,0,1.00,0.00,362,29,0.93,0.07,389,2,0.99,0.01,391,0,1.00,0.00,252,139,0.64,0.36,391,0,1.00,0.00,391,0,1.00,0.00,332,59,0.85,0.15,391,0,1.00,0.00,3290,229,0.87,0.06
little_char_953_c.png,c,,432,0,1.00,0.00,432,0,1.00,0.00,432,0,1.00,0.00,387,45,0.90,0.10,361,71,0.84,0.16,432,0,1.00,0.00,426,6,0.99,0.01,353,79,0.82,0.18,430,2,1.00,0.00,3685,203,0.95,0.05
little_char_884_h.png,h,h,58,12,0.83,0.17,58,12,0.83,0.17,70,0,1.00,0.00,35,35,0.50,0.50,41,29,0.59,0.41,36,34,0.51,0.49,41,29,0.59,0.41,67,3,0.96,0.04,39,31,0.56,0.44,445,185,0.67,0.28
little_char_507_e.png,e,,59,11,0.84,0.16,30,40,0.43,0.57,39,31,0.56,0.44,37,33,0.53,0.47,30,40,0.43,0.57,57,13,0.81,0.19,45,25,0.64,0.36,33,37,0.47,0.53,45,25,0.64,0.36,375,255,0.60,0.40
little_char_1035_x.png,x,x,391,0,1.00,0.00,391,0,1.00,0.00,391,0,1.00,0.00,345,46,0.88,0.12,303,88,0.77,0.23,391,0,1.00,0.00,376,15,0.96,0.04,333,58,0.85,0.15,391,0,1.00,0.00,3312,207,0.88,0.06
little_char_1238_p.png,p,,71,17,0.81,0.19,47,41,0.53,0.47,37,51,0.42,0.58,37,51,0.42,0.58,72,16,0.82,0.18,80,8,0.91,0.09,36,52,0.41,0.59,88,0,1.00,0.00,88,0,1.00,0.00,556,236,0.64,0.27
little_char_1303_d.png,d,a,120,0,1.00,0.00,120,0,1.00,0.00,78,42,0.65,0.35,101,19,0.84,0.16,84,36,0.70,0.30,75,45,0.62,0.38,70,50,0.58,0.42,81,39,0.68,0.33,82,38,0.68,0.32,811,269,0.75,0.25
little_char_479_f.png,f,,390,18,0.96,0.04,339,69,0.83,0.17,408,0,1.00,0.00,311,97,0.76,0.24,346,62,0.85,0.15,408,0,1.00,0.00,366,42,0.90,0.10,408,0,1.00,0.00,408,0,1.00,0.00,3384,288,0.90,0.08
little_char_98_e.png,e,,408,0,1.00,0.00,408,0,1.00,0.00,407,1,1.00,0.00,278,130,0.68,0.32,387,21,0.95,0.05,408,0,1.00,0.00,347,61,0.85,0.15,379,29,0.93,0.07,408,0,1.00,0.00,3430,242,0.90,0.06
little_char_256_v.png,v,,58,42,0.58,0.42,100,0,1.00,0.00,58,42,0.58,0.42,56,44,0.56,0.44,74,26,0.74,0.26,75,25,0.75,0.25,84,16,0.84,0.16,48,52,0.48,0.52,100,0,1.00,0.00,653,247,0.66,0.25
little_char_112_a.png,a,,73,27,0.73,0.27,57,43,0.57,0.43,76,24,0.76,0.24,57,43,0.57,0.43,78,22,0.78,0.22,61,39,0.61,0.39,91,9,0.91,0.09,84,16,0.84,0.16,55,45,0.55,0.45,632,268,0.68,0.29
little_char_1170_j.png,j,j,45,0,1.00,0.00,37,8,0.82,0.18,26,19,0.58,0.42,41,4,0.91,0.09,45,0,1.00,0.00,13,32,0.29,0.71,34,11,0.76,0.24,23,22,0.51,0.49,16,29,0.36,0.64,280,125,0.61,0.27
little_char_1190_x.png,x,,423,9,0.98,0.02,416,16,0.96,0.04,411,21,0.95,0.05,387,45,0.90,0.10,374,58,0.87,0.13,432,0,1.00,0.00,392,40,0.91,0.09,386,46,0.89,0.11,432,0,1.00,0.00,3653,235,0.94,0.06
little_char_823_o.png,o,,75,5,0.94,0.06,39,41,0.49,0.51,46,34,0.57,0.42,52,28,0.65,0.35,60,20,0.75,0.25,35,45,0.44,0.56,39,41,0.49,0.51,12,68,0.15,0.85,55,25,0.69,0.31,413,307,0.57,0.43
little_char_984_z.png,z,,82,38,0.68,0.32,75,45,0.62,0.38,120,0,1.00,0.00,87,33,0.72,0.28,57,63,0.47,0.53,100,20,0.83,0.17,115,5,0.96,0.04,66,54,0.55,0.45,91,29,0.76,0.24,793,287,0.69,0.25
little_char_523_s.png,s,s,414,0,1.00,0.00,414,0,1.00,0.00,413,1,1.00,0.00,388,26,0.94,0.06,307,107,0.74,0.26,414,0,1.00,0.00,364,50,0.88,0.12,353,61,0.85,0.15,414,0,1.00,0.00,3481,245,0.91,0.06
little_char_15_l.png,l,t,40,0,1.00,0.00,15,25,0.38,0.62,28,12,0.70,0.30,30,10,0.75,0.25,16,24,0.40,0.60,40,0,1.00,0.00,25,15,0.62,0.38,23,17,0.57,0.42,40,0,1.00,0.00,257,103,0.71,0.29
little_char_33_x.png,x,p,67,23,0.74,0.26,84,6,0.93,0.07,58,32,0.64,0.36,74,16,0.82,0.18,18,72,0.20,0.80,87,3,0.97,0.03,55,35,0.61,0.39,61,29,0.68,0.32,60,30,0.67,0.33,564,246,0.65,0.28
little_char_778_f.png,f,e,95,17,0.85,0.15,68,44,0.61,0.39,54,58,0.48,0.52,75,37,0.67,0.33,93,19,0.83,0.17,107,5,0.96,0.04,90,22,0.80,0.20,58,54,0.52,0.48,109,3,0.97,0.03,749,259,0.71,0.25
