Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_0_3,Black_0_3,White_Density_0_3,Black_Density_0_3,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_1_3,Black_1_3,White_Density_1_3,Black_Density_1_3,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,White_2_3,Black_2_3,White_Density_2_3,Black_Density_2_3,White_3_0,Black_3_0,White_Density_3_0,Black_Density_3_0,White_3_1,Black_3_1,White_Density_3_1,Black_Density_3_1,White_3_2,Black_3_2,White_Density_3_2,Black_Density_3_2,White_3_3,Black_3_3,White_Density_3_3,Black_Density_3_3,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
little_char_1227_t.png,t,b,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,171,63,0.73,0.27,233,1,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,164,70,0.70,0.30,225,9,0.96,0.04,234,0,1.00,0.00,234,0,1.00,0.00,219,15,0.94,0.06,234,0,1.00,0.00,234,0,1.00,0.00,3586,158,0.94,0.04
little_char_1373_y.png,y,s,70,0,1.00,0.00,48,22,0.69,0.31,69,1,0.99,0.01,36,34,0.51,0.49,70,0,1.00,0.00,64,6,0.91,0.09,35,35,0.50,0.50,20,50,0.29,0.71,67,3,0.96,0.04,70,0,1.00,0.00,70,0,1.00,0.00,40,30,0.57,0.43,60,10,0.86,0.14,48,22,0.69,0.31,46,24,0.66,0.34,38,32,0.54,0.46,851,269,0.69,0.22
little_char_568_h.png,h,,40,23,0.63,0.37,63,0,1.00,0.00,63,0,1.00,0.00,63,0,1.00,0.00,27,36,0.43,0.57,63,0,1.00,0.00,63,0,1.00,0.00,63,0,1.00,0.00,28,35,0.44,0.56,43,20,0.68,0.32,35,28,0.56,0.44,22,41,0.35,0.65,34,29,0.54,0.46,40,23,0.63,0.37,63,0,1.00,0.00,30,33,0.48,0.52,740,268,0.68,0.25
little_char_1039_v.png,v,,224,10,0.96,0.04,234,0,1.00,0.00,234,0,1.00,0.00,233,1,1.00,0.00,231,3,0.99,0.01,205,29,0.88,0.12,218,16,0.93,0.07,234,0,1.00,0.00,213,21,0.91,0.09,145,89,0.62,0.38,234,0,1.00,0.00,234,0,1.00,0.00,216,18,0.92,0.08,148,86,0.63,0.37,234,0,1.00,0.00,234,0,1.00,0.00,3471,273,0.88,0.07
little_char_866_l.png,l,,221,0,1.00,0.00,202,19,0.91,0.09,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,176,45,0.80,0.20,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,192,29,0.87,0.13,215,6,0.97,0.03,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,3437,99,0.90,0.03
little_char_1183_q.png,q,,233,1,1.00,0.00,229,5,0.98,0.02,234,0,1.00,0.00,234,0,1.00,0.00,175,59,0.75,0.25,148,86,0.63,0.37,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,175,59,0.75,0.25,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,207,27,0.88,0.12,234,0,1.00,0.00,234,0,1.00,0.00,3507,237,0.92,0.06
little_char_228_s.png,s,,221,0,1.00,0.00,210,11,0.95,0.05,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,154,67,0.70,0.30,221,0,1.00,0.00,221,0,1.00,0.00,203,18,0.92,0.08,137,84,0.62,0.38,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,3356,180,0.88,0.05
little_char_1019_d.png,d,d,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,186,35,0.84,0.16,221,0,1.00,0.00,221,0,1.00,0.00,190,31,0.86,0.14,132,89,0.60,0.40,221,0,1.00,0.00,221,0,1.00,0.00,192,29,0.87,0.13,167,54,0.76,0.24,221,0,1.00,0.00,221,0,1.00,0.00,3298,238,0.88,0.06
little_char_1198_e.png,e,,45,4,0.92,0.08,25,24,0.51,0.49,23,26,0.47,0.53,32,17,0.65,0.35,21,28,0.43,0.57,23,26,0.47,0.53,22,27,0.45,0.55,34,15,0.69,0.31,22,27,0.45,0.55,45,4,0.92,0.08,49,0,1.00,0.00,49,0,1.00,0.00,48,1,0.98,0.02,29,20,0.59,0.41,30,19,0.61,0.39,33,16,0.67,0.33,530,254,0.59,0.28
little_char_637_k.png,k,,53,19,0.74,0.26,68,4,0.94,0.06,72,0,1.00,0.00,72,0,1.00,0.00,49,23,0.68,0.32,70,2,0.97,0.03,60,12,0.83,0.17,72,0,1.00,0.00,30,42,0.42,0.58,27,45,0.38,0.62,61,11,0.85,0.15,72,0,1.00,0.00,32,40,0.44,0.56,34,38,0.47,0.53,36,36,0.50,0.50,51,21,0.71,0.29,859,293,0.70,0.24
little_char_206_y.png,y,y,230,4,0.98,0.02,226,8,0.97,0.03,228,6,0.97,0.03,234,0,1.00,0.00,231,3,0.99,0.01,192,42,0.82,0.18,159,75,0.68,0.32,234,0,1.00,0.00,231,3,0.99,0.01,192,42,0.82,0.18,166,68,0.71,0.29,234,0,1.00,0.00,231,3,0.99,0.01,222,12,0.95,0.05,211,23,0.90,0.10,234,0,1.00,0.00,3455,289,0.89,0.07
little_char_233_p.png,p,p,220,1,1.00,0.00,218,3,0.99,0.01,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,132,89,0.60,0.40,154,67,0.70,0.30,221,0,1.00,0.00,221,0,1.00,0.00,148,73,0.67,0.33,219,2,0.99,0.01,221,0,1.00,0.00,221,0,1.00,0.00,186,35,0.84,0.16,221,0,1.00,0.00,221,0,1.00,0.00,3266,270,0.85,0.07
little_char_1106_q.png,q,,26,19,0.58,0.42,24,21,0.53,0.47,22,23,0.49,0.51,22,23,0.49,0.51,29,16,0.64,0.36,26,19,0.58,0.42,22,23,0.49,0.51,0,45,0.00,1.00,45,0,1.00,0.00,45,0,1.00,0.00,18,27,0.40,0.60,9,36,0.20,0.80,45,0,1.00,0.00,38,7,0.84,0.16,11,34,0.24,0.76,39,6,0.87,0.13,421,299,0.51,0.37
little_char_107_y.png,y,,233,1,1.00,0.00,232,2,0.99,0.01,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,187,47,0.80,0.20,170,64,0.73,0.27,234,0,1.00,0.00,234,0,1.00,0.00,199,35,0.85,0.15,137,97,0.59,0.41,234,0,1.00,0.00,234,0,1.00,0.00,225,9,0.96,0.04,206,28,0.88,0.12,234,0,1.00,0.00,3461,283,0.91,0.07
little_char_1078_e.png,e,,30,0,1.00,0.00,26,4,0.87,0.13,13,17,0.43,0.57,22,8,0.73,0.27,24,6,0.80,0.20,3,27,0.10,0.90,2,28,0.07,0.93,8,22,0.27,0.73,12,18,0.40,0.60,18,12,0.60,0.40,25,5,0.83,0.17,30,0,1.00,0.00,14,16,0.47,0.53,17,13,0.57,0.43,29,1,0.97,0.03,30,0,1.00,0.00,303,177,0.53,0.31
little_char_1342_c.png,c,,35,0,1.00,0.00,28,7,0.80,0.20,14,21,0.40,0.60,28,7,0.80,0.20,27,8,0.77,0.23,16,19,0.46,0.54,27,8,0.77,0.23,30,5,0.86,0.14,17,18,0.49,0.51,35,0,1.00,0.00,35,0,1.00,0.00,35,0,1.00,0.00,18,17,0.51,0.49,17,18,0.49,0.51,21,14,0.60,0.40,18,17,0.51,0.49,401,159,0.60,0.24
little_char_960_o.png,o,,233,1,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,212,22,0.91,0.09,231,3,0.99,0.01,234,0,1.00,0.00,234,0,1.00,0.00,153,81,0.65,0.35,179,55,0.76,0.24,234,0,1.00,0.00,234,0,1.00,0.00,199,35,0.85,0.15,215,19,0.92,0.08,234,0,1.00,0.00,3528,216,0.91,0.06
little_char_1187_u.png,u,u,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,204,30,0.87,0.13,200,34,0.85,0.15,234,0,1.00,0.00,234,0,1.00,0.00,175,59,0.75,0.25,158,76,0.68,0.32,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,221,13,0.94,0.06,230,4,0.98,0.02,3528,216,0.92,0.06
little_char_11_k.png,k,,44,19,0.70,0.30,63,0,1.00,0.00,63,0,1.00,0.00,63,0,1.00,0.00,35,28,0.56,0.44,42,21,0.67,0.33,51,12,0.81,0.19,63,0,1.00,0.00,27,36,0.43,0.57,22,41,0.35,0.65,62,1,0.98,0.02,63,0,1.00,0.00,61,2,0.97,0.03,20,43,0.32,0.68,29,34,0.46,0.54,40,23,0.63,0.37,748,260,0.67,0.23
little_char_973_e.png,e,e,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,215,6,0.97,0.03,125,96,0.57,0.43,221,0,1.00,0.00,221,0,1.00,0.00,174,47,0.79,0.21,187,34,0.85,0.15,220,1,1.00,0.00,221,0,1.00,0.00,211,10,0.95,0.05,173,48,0.78,0.22,221,0,1.00,0.00,221,0,1.00,0.00,3294,242,0.86,0.06
little_char_871_u.png,u,,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,192,29,0.87,0.13,193,28,0.87,0.13,193,28,0.87,0.13,221,0,1.00,0.00,177,44,0.80,0.20,177,44,0.80,0.20,206,15,0.93,0.07,221,0,1.00,0.00,216,5,0.98,0.02,161,60,0.73,0.27,221,0,1.00,0.00,221,0,1.00,0.00,3283,253,0.86,0.07
little_char_1065_w.png,w,w,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,201,33,0.86,0.14,210,24,0.90,0.10,209,25,0.89,0.11,234,0,1.00,0.00,170,64,0.73,0.27,138,96,0.59,0.41,155,79,0.66,0.34,234,0,1.00,0.00,227,7,0.97,0.03,197,37,0.84,0.16,227,7,0.97,0.03,234,0,1.00,0.00,3372,372,0.87,0.10
little_char_658_e.png,e,e,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,165,56,0.75,0.25,180,41,0.81,0.19,221,0,1.00,0.00,221,0,1.00,0.00,124,97,0.56,0.44,215,6,0.97,0.03,221,0,1.00,0.00,221,0,1.00,0.00,190,31,0.86,0.14,203,18,0.92,0.08,221,0,1.00,0.00,3287,249,0.86,0.06
little_char_1152_y.png,y,y,233,1,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,176,58,0.75,0.25,215,19,0.92,0.08,234,0,1.00,0.00,234,0,1.00,0.00,161,73,0.69,0.31,177,57,0.76,0.24,234,0,1.00,0.00,234,0,1.00,0.00,169,65,0.72,0.28,197,37,0.84,0.16,234,0,1.00,0.00,3434,310,0.87,0.08
little_char_1194_h.png,h,h,44,5,0.90,0.10,38,11,0.78,0.22,49,0,1.00,0.00,49,0,1.00,0.00,36,13,0.73,0.27,41,8,0.84,0.16,29,20,0.59,0.41,33,16,0.67,0.33,34,15,0.69,0.31,11,38,0.22,0.78,42,7,0.86,0.14,21,28,0.43,0.57,30,19,0.61,0.39,40,9,0.82,0.18,44,5,0.90,0.10,32,17,0.65,0.35,573,211,0.71,0.26
little_char_1122_q.png,q,,45,15,0.75,0.25,37,23,0.62,0.38,31,29,0.52,0.48,49,11,0.82,0.18,34,26,0.57,0.43,44,16,0.73,0.27,35,25,0.58,0.42,10,50,0.17,0.83,60,0,1.00,0.00,55,5,0.92,0.08,57,3,0.95,0.05,23,37,0.38,0.62,60,0,1.00,0.00,43,17,0.72,0.28,39,21,0.65,0.35,26,34,0.43,0.57,648,312,0.58,0.28
little_char_1411_d.png,d,a,42,0,1.00,0.00,42,0,1.00,0.00,39,3,0.93,0.07,25,17,0.60,0.40,42,0,1.00,0.00,42,0,1.00,0.00,33,9,0.79,0.21,25,17,0.60,0.40,20,22,0.48,0.52,22,20,0.52,0.48,10,32,0.24,0.76,29,13,0.69,0.31,26,16,0.62,0.38,18,24,0.43,0.57,19,23,0.45,0.55,10,32,0.24,0.76,444,228,0.57,0.29
little_char_1096_n.png,n,a,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,219,2,0.99,0.01,151,70,0.68,0.32,221,0,1.00,0.00,221,0,1.00,0.00,164,57,0.74,0.26,160,61,0.72,0.28,221,0,1.00,0.00,221,0,1.00,0.00,218,3,0.99,0.01,219,2,0.99,0.01,221,0,1.00,0.00,221,0,1.00,0.00,3341,195,0.87,0.05
little_char_1379_d.png,d,a,48,0,1.00,0.00,48,0,1.00,0.00,48,0,1.00,0.00,31,17,0.65,0.35,48,0,1.00,0.00,48,0,1.00,0.00,48,0,1.00,0.00,22,26,0.46,0.54,36,12,0.75,0.25,27,21,0.56,0.44,22,26,0.46,0.54,7,41,0.15,0.85,22,26,0.46,0.54,23,25,0.48,0.52,26,22,0.54,0.46,22,26,0.46,0.54,526,242,0.59,0.27
little_char_1141_e.png,e,a,42,0,1.00,0.00,29,13,0.69,0.31,20,22,0.48,0.52,18,24,0.43,0.57,18,24,0.43,0.57,6,36,0.14,0.86,21,21,0.50,0.50,36,6,0.86,0.14,20,22,0.48,0.52,42,0,1.00,0.00,42,0,1.00,0.00,42,0,1.00,0.00,25,17,0.60,0.40,20,22,0.48,0.52,23,19,0.55,0.45,26,16,0.62,0.38,430,242,0.59,0.33
little_char_544_v.png,v,,26,22,0.54,0.46,48,0,1.00,0.00,48,0,1.00,0.00,28,20,0.58,0.42,19,29,0.40,0.60,47,1,0.98,0.02,33,15,0.69,0.31,27,21,0.56,0.44,31,17,0.65,0.35,36,12,0.75,0.25,16,32,0.33,0.67,48,0,1.00,0.00,45,3,0.94,0.06,8,40,0.17,0.83,42,6,0.88,0.12,48,0,1.00,0.00,550,218,0.66,0.26
little_char_645_a.png,a,,46,3,0.94,0.06,19,30,0.39,0.61,16,33,0.33,0.67,46,3,0.94,0.06,25,24,0.51,0.49,46,3,0.94,0.06,21,28,0.43,0.57,40,9,0.82,0.18,19,30,0.39,0.61,39,10,0.80,0.20,13,36,0.27,0.73,22,27,0.45,0.55,41,8,0.84,0.16,30,19,0.61,0.39,43,6,0.88,0.12,31,18,0.63,0.37,497,287,0.61,0.35
little_char_1008_m.png,m,,233,1,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,176,58,0.75,0.25,229,5,0.98,0.02,234,0,1.00,0.00,212,22,0.91,0.09,102,132,0.44,0.56,144,90,0.62,0.38,234,0,1.00,0.00,215,19,0.92,0.08,205,29,0.88,0.12,213,21,0.91,0.09,234,0,1.00,0.00,3367,377,0.85,0.10
little_char_267_n.png,n,n,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,215,19,0.92,0.08,139,95,0.59,0.41,234,0,1.00,0.00,234,0,1.00,0.00,192,42,0.82,0.18,199,35,0.85,0.15,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,3553,191,0.95,0.05
little_char_188_s.png,s,,42,0,1.00,0.00,38,4,0.90,0.10,18,24,0.43,0.57,16,26,0.38,0.62,42,0,1.00,0.00,40,2,0.95,0.05,8,34,0.19,0.81,35,7,0.83,0.17,42,0,1.00,0.00,42,0,1.00,0.00,32,10,0.76,0.24,20,22,0.48,0.52,23,19,0.55,0.45,21,21,0.50,0.50,20,22,0.48,0.52,17,25,0.40,0.60,456,216,0.60,0.29
little_char_944_x.png,x,a,40,8,0.83,0.17,48,0,1.00,0.00,45,3,0.94,0.06,23,25,0.48,0.52,40,8,0.83,0.17,23,25,0.48,0.52,26,22,0.54,0.46,45,3,0.94,0.06,41,7,0.85,0.15,14,34,0.29,0.71,37,11,0.77,0.23,48,0,1.00,0.00,25,23,0.52,0.48,48,0,1.00,0.00,32,16,0.67,0.33,46,2,0.96,0.04,581,187,0.68,0.22
little_char_1115_z.png,z,,33,23,0.59,0.41,23,33,0.41,0.59,50,6,0.89,0.11,56,0,1.00,0.00,54,2,0.96,0.04,32,24,0.57,0.43,47,9,0.84,0.16,56,0,1.00,0.00,25,31,0.45,0.55,19,37,0.34,0.66,27,29,0.48,0.52,38,18,0.68,0.32,24,32,0.43,0.57,42,14,0.75,0.25,42,14,0.75,0.25,50,6,0.89,0.11,618,278,0.63,0.28
little_char_1094_l.png,l,,220,1,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,184,37,0.83,0.17,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,178,43,0.81,0.19,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,211,10,0.95,0.05,221,0,1.00,0.00,221,0,1.00,0.00,3445,91,0.91,0.02
little_char_1133_y.png,y,,233,1,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,229,5,0.98,0.02,162,72,0.69,0.31,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,151,83,0.65,0.35,208,26,0.89,0.11,234,0,1.00,0.00,219,15,0.94,0.06,169,65,0.72,0.28,193,41,0.82,0.18,234,0,1.00,0.00,3436,308,0.88,0.08
little_char_1214_z.png,z,,48,24,0.67,0.33,33,39,0.46,0.54,58,14,0.81,0.19,72,0,1.00,0.00,55,17,0.76,0.24,38,34,0.53,0.47,35,37,0.49,0.51,42,30,0.58,0.42,72,0,1.00,0.00,32,40,0.44,0.56,64,8,0.89,0.11,68,4,0.94,0.06,67,5,0.93,0.07,28,44,0.39,0.61,41,31,0.57,0.43,72,0,1.00,0.00,825,327,0.67,0.27
little_char_929_t.png,t,,221,0,1.00,0.00,210,11,0.95,0.05,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,124,97,0.56,0.44,212,9,0.96,0.04,221,0,1.00,0.00,221,0,1.00,0.00,180,41,0.81,0.19,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,3378,158,0.90,0.04
little_char_763_g.png,g,a,48,15,0.76,0.24,35,28,0.56,0.44,26,37,0.41,0.59,63,0,1.00,0.00,52,11,0.83,0.17,36,27,0.57,0.43,15,48,0.24,0.76,46,17,0.73,0.27,63,0,1.00,0.00,63,0,1.00,0.00,60,3,0.95,0.05,35,28,0.56,0.44,50,13,0.79,0.21,46,17,0.73,0.27,44,19,0.70,0.30,28,35,0.44,0.56,710,298,0.67,0.28
little_char_1232_y.png,y,,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,232,2,0.99,0.01,212,22,0.91,0.09,114,120,0.49,0.51,218,16,0.93,0.07,234,0,1.00,0.00,234,0,1.00,0.00,211,23,0.90,0.10,195,39,0.83,0.17,234,0,1.00,0.00,234,0,1.00,0.00,160,74,0.68,0.32,214,20,0.91,0.09,234,0,1.00,0.00,3428,316,0.90,0.08
little_char_265_l.png,l,a,220,1,1.00,0.00,220,1,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,176,45,0.80,0.20,221,0,1.00,0.00,221,0,1.00,0.00,212,9,0.96,0.04,191,30,0.86,0.14,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,208,13,0.94,0.06,221,0,1.00,0.00,3437,99,0.91,0.03
little_char_1092_j.png,j,,221,0,1.00,0.00,207,14,0.94,0.06,212,9,0.96,0.04,221,0,1.00,0.00,221,0,1.00,0.00,199,22,0.90,0.10,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,169,52,0.76,0.24,221,0,1.00,0.00,221,0,1.00,0.00,221,0,1.00,0.00,175,46,0.79,0.21,221,0,1.00,0.00,221,0,1.00,0.00,3393,143,0.90,0.04
little_char_875_p.png,p,,42,3,0.93,0.07,19,26,0.42,0.58,24,21,0.53,0.47,22,23,0.49,0.51,21,24,0.47,0.53,31,14,0.69,0.31,31,14,0.69,0.31,17,28,0.38,0.62,9,36,0.20,0.80,30,15,0.67,0.33,40,5,0.89,0.11,45,0,1.00,0.00,25,20,0.56,0.44,35,10,0.78,0.22,45,0,1.00,0.00,45,0,1.00,0.00,481,239,0.64,0.32
little_char_516_o.png,o,,233,1,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,232,2,0.99,0.01,133,101,0.57,0.43,212,22,0.91,0.09,234,0,1.00,0.00,234,0,1.00,0.00,167,67,0.71,0.29,221,13,0.94,0.06,234,0,1.00,0.00,3538,206,0.89,0.05
little_char_932_w.png,w,,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,205,29,0.88,0.12,211,23,0.90,0.10,197,37,0.84,0.16,230,4,0.98,0.02,146,88,0.62,0.38,143,91,0.61,0.39,225,9,0.96,0.04,233,1,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,234,0,1.00,0.00,3462,282,0.91,0.07
