Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_0_3,Black_0_3,White_Density_0_3,Black_Density_0_3,White_0_4,Black_0_4,White_Density_0_4,Black_Density_0_4,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_1_3,Black_1_3,White_Density_1_3,Black_Density_1_3,White_1_4,Black_1_4,White_Density_1_4,Black_Density_1_4,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,White_2_3,Black_2_3,White_Density_2_3,Black_Density_2_3,White_2_4,Black_2_4,White_Density_2_4,Black_Density_2_4,White_3_0,Black_3_0,White_Density_3_0,Black_Density_3_0,White_3_1,Black_3_1,White_Density_3_1,Black_Density_3_1,White_3_2,Black_3_2,White_Density_3_2,Black_Density_3_2,White_3_3,Black_3_3,White_Density_3_3,Black_Density_3_3,White_3_4,Black_3_4,White_Density_3_4,Black_Density_3_4,White_4_0,Black_4_0,White_Density_4_0,Black_Density_4_0,White_4_1,Black_4_1,White_Density_4_1,Black_Density_4_1,White_4_2,Black_4_2,White_Density_4_2,Black_Density_4_2,White_4_3,Black_4_3,White_Density_4_3,Black_Density_4_3,White_4_4,Black_4_4,White_Density_4_4,Black_Density_4_4,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density,Letter_From_Random_Forest
big_char_591_C.png,C,C,30,0,1.0,0.0,25,5,0.83,0.17,14,16,0.47,0.53,12,18,0.4,0.6,29,1,0.97,0.03,19,11,0.63,0.37,10,20,0.33,0.67,18,12,0.6,0.4,19,11,0.63,0.37,30,0,1.0,0.0,8,22,0.27,0.73,30,0,1.0,0.0,30,0,1.0,0.0,30,0,1.0,0.0,30,0,1.0,0.0,9,21,0.3,0.7,24,6,0.8,0.2,30,0,1.0,0.0,30,0,1.0,0.0,30,0,1.0,0.0,27,3,0.9,0.1,9,21,0.3,0.7,9,21,0.3,0.7,19,11,0.63,0.37,24,6,0.8,0.2,545,205,0.57,0.22,C
big_char_827_G.png,G,G,49,0,1.0,0.0,48,1,0.98,0.02,29,20,0.59,0.41,21,28,0.43,0.57,27,22,0.55,0.45,45,4,0.92,0.08,18,31,0.37,0.63,39,10,0.8,0.2,49,0,1.0,0.0,49,0,1.0,0.0,26,23,0.53,0.47,46,3,0.94,0.06,29,20,0.59,0.41,36,13,0.73,0.27,49,0,1.0,0.0,21,28,0.43,0.57,42,7,0.86,0.14,34,15,0.69,0.31,10,39,0.2,0.8,48,1,0.98,0.02,45,4,0.92,0.08,28,21,0.57,0.43,23,26,0.47,0.53,7,42,0.14,0.86,45,4,0.92,0.08,863,362,0.57,0.24,G
big_char_903_C.png,C,C,152,2,0.99,0.01,154,0,1.0,0.0,154,0,1.0,0.0,153,1,0.99,0.01,140,14,0.91,0.09,154,0,1.0,0.0,130,24,0.84,0.16,113,41,0.73,0.27,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,111,43,0.72,0.28,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,117,37,0.76,0.24,94,60,0.61,0.39,131,23,0.85,0.15,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,3605,245,0.89,0.06,C
big_char_973_J.png,J,R,154,0,1.0,0.0,148,6,0.96,0.04,154,0,1.0,0.0,150,4,0.97,0.03,151,3,0.98,0.02,154,0,1.0,0.0,136,18,0.88,0.12,65,89,0.42,0.58,152,2,0.99,0.01,154,0,1.0,0.0,149,5,0.97,0.03,146,8,0.95,0.05,113,41,0.73,0.27,154,0,1.0,0.0,154,0,1.0,0.0,152,2,0.99,0.01,100,54,0.65,0.35,84,70,0.55,0.45,154,0,1.0,0.0,154,0,1.0,0.0,142,12,0.92,0.08,154,0,1.0,0.0,149,5,0.97,0.03,154,0,1.0,0.0,154,0,1.0,0.0,3531,319,0.92,0.08,J
big_char_1357_C.png,C,C,42,0,1.0,0.0,42,0,1.0,0.0,29,13,0.69,0.31,17,25,0.4,0.6,23,19,0.55,0.45,41,1,0.98,0.02,20,22,0.48,0.52,29,13,0.69,0.31,41,1,0.98,0.02,42,0,1.0,0.0,24,18,0.57,0.43,34,8,0.81,0.19,42,0,1.0,0.0,42,0,1.0,0.0,42,0,1.0,0.0,12,30,0.29,0.71,42,0,1.0,0.0,42,0,1.0,0.0,42,0,1.0,0.0,42,0,1.0,0.0,31,11,0.74,0.26,16,26,0.38,0.62,33,9,0.79,0.21,36,6,0.86,0.14,36,6,0.86,0.14,842,208,0.63,0.16,C
big_char_88_B.png,B,,140,0,1.0,0.0,133,7,0.95,0.05,72,68,0.51,0.49,124,16,0.89,0.11,140,0,1.0,0.0,140,0,1.0,0.0,120,20,0.86,0.14,62,78,0.44,0.56,123,17,0.88,0.12,140,0,1.0,0.0,140,0,1.0,0.0,114,26,0.81,0.19,71,69,0.51,0.49,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,95,45,0.68,0.32,79,61,0.56,0.44,132,8,0.94,0.06,140,0,1.0,0.0,140,0,1.0,0.0,133,7,0.95,0.05,114,26,0.81,0.19,140,0,1.0,0.0,140,0,1.0,0.0,3052,448,0.81,0.12,B
big_char_199_U.png,U,,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,118,36,0.77,0.23,154,0,1.0,0.0,106,48,0.69,0.31,154,0,1.0,0.0,154,0,1.0,0.0,116,38,0.75,0.25,154,0,1.0,0.0,97,57,0.63,0.37,154,0,1.0,0.0,154,0,1.0,0.0,120,34,0.78,0.22,82,72,0.53,0.47,137,17,0.89,0.11,154,0,1.0,0.0,140,14,0.91,0.09,144,10,0.94,0.06,149,5,0.97,0.03,150,4,0.97,0.03,146,8,0.95,0.05,3507,343,0.91,0.09,U
big_char_1406_P.png,P,,30,0,1.0,0.0,29,1,0.97,0.03,14,16,0.47,0.53,11,19,0.37,0.63,23,7,0.77,0.23,26,4,0.87,0.13,10,20,0.33,0.67,20,10,0.67,0.33,12,18,0.4,0.6,14,16,0.47,0.53,7,23,0.23,0.77,9,21,0.3,0.7,13,17,0.43,0.57,19,11,0.63,0.37,30,0,1.0,0.0,6,24,0.2,0.8,24,6,0.8,0.2,30,0,1.0,0.0,30,0,1.0,0.0,30,0,1.0,0.0,9,21,0.3,0.7,22,8,0.73,0.27,30,0,1.0,0.0,30,0,1.0,0.0,30,0,1.0,0.0,508,242,0.62,0.29,P
big_char_770_T.png,T,,32,10,0.76,0.24,30,12,0.71,0.29,18,24,0.43,0.57,24,18,0.57,0.43,13,29,0.31,0.69,28,14,0.67,0.33,29,13,0.69,0.31,28,14,0.67,0.33,17,25,0.4,0.6,41,1,0.98,0.02,42,0,1.0,0.0,42,0,1.0,0.0,26,16,0.62,0.38,29,13,0.69,0.31,42,0,1.0,0.0,42,0,1.0,0.0,42,0,1.0,0.0,17,25,0.4,0.6,35,7,0.83,0.17,42,0,1.0,0.0,42,0,1.0,0.0,42,0,1.0,0.0,30,12,0.71,0.29,32,10,0.76,0.24,42,0,1.0,0.0,807,243,0.66,0.2,T
big_char_164_U.png,U,U,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,149,5,0.97,0.03,140,14,0.91,0.09,154,0,1.0,0.0,122,32,0.79,0.21,137,17,0.89,0.11,113,41,0.73,0.27,154,0,1.0,0.0,154,0,1.0,0.0,105,49,0.68,0.32,145,9,0.94,0.06,102,52,0.66,0.34,154,0,1.0,0.0,154,0,1.0,0.0,145,9,0.94,0.06,84,70,0.55,0.45,105,49,0.68,0.32,154,0,1.0,0.0,142,12,0.92,0.08,140,14,0.91,0.09,140,14,0.91,0.09,140,14,0.91,0.09,142,12,0.92,0.08,3437,413,0.88,0.11,U
big_char_95_P.png,P,C,140,0,1.0,0.0,140,0,1.0,0.0,132,8,0.94,0.06,122,18,0.87,0.13,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,85,55,0.61,0.39,86,54,0.61,0.39,140,0,1.0,0.0,140,0,1.0,0.0,137,3,0.98,0.02,64,76,0.46,0.54,115,25,0.82,0.18,140,0,1.0,0.0,140,0,1.0,0.0,128,12,0.91,0.09,110,30,0.79,0.21,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,135,5,0.96,0.04,140,0,1.0,0.0,140,0,1.0,0.0,3214,286,0.87,0.08,P
big_char_893_J.png,J,V,31,11,0.74,0.26,19,23,0.45,0.55,19,23,0.45,0.55,27,15,0.64,0.36,32,10,0.76,0.24,42,0,1.0,0.0,32,10,0.76,0.24,10,32,0.24,0.76,32,10,0.76,0.24,35,7,0.83,0.17,42,0,1.0,0.0,42,0,1.0,0.0,13,29,0.31,0.69,42,0,1.0,0.0,42,0,1.0,0.0,19,23,0.45,0.55,41,1,0.98,0.02,21,21,0.5,0.5,35,7,0.83,0.17,42,0,1.0,0.0,35,7,0.83,0.17,20,22,0.48,0.52,14,28,0.33,0.67,35,7,0.83,0.17,42,0,1.0,0.0,764,286,0.73,0.27,J
big_char_901_A.png,A,A,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,154,0,1.0,0.0,150,4,0.97,0.03,149,5,0.97,0.03,93,61,0.6,0.4,121,33,0.79,0.21,154,0,1.0,0.0,154,0,1.0,0.0,111,43,0.72,0.28,93,61,0.6,0.4,116,38,0.75,0.25,154,0,1.0,0.0,154,0,1.0,0.0,105,49,0.68,0.32,121,33,0.79,0.21,124,30,0.81,0.19,154,0,1.0,0.0,153,1,0.99,0.01,154,0,1.0,0.0,154,0,1.0,0.0,152,2,0.99,0.01,154,0,1.0,0.0,3490,360,0.88,0.09,A
big_char_560_Y.png,Y,,47,1,0.98,0.02,27,21,0.56,0.44,48,0,1.0,0.0,15,33,0.31,0.69,48,0,1.0,0.0,48,0,1.0,0.0,26,22,0.54,0.46,25,23,0.52,0.48,6,42,0.12,0.88,37,11,0.77,0.23,48,0,1.0,0.0,48,0,1.0,0.0,48,0,1.0,0.0,41,7,0.85,0.15,15,33,0.31,0.69,33,15,0.69,0.31,48,0,1.0,0.0,48,0,1.0,0.0,48,0,1.0,0.0,25,23,0.52,0.48,37,11,0.77,0.23,22,26,0.46,0.54,20,28,0.42,0.58,22,26,0.46,0.54,24,24,0.5,0.5,854,346,0.61,0.25,Y
big_char_226_S.png,S,,36,0,1.0,0.0,36,0,1.0,0.0,7,29,0.19,0.81,12,24,0.33,0.67,18,18,0.5,0.5,36,0,1.0,0.0,36,0,1.0,0.0,21,15,0.58,0.42,20,16,0.56,0.44,36,0,1.0,0.0,36,0,1.0,0.0,36,0,1.0,0.0,36,0,1.0,0.0,20,16,0.56,0.44,23,13,0.64,0.36,15,21,0.42,0.58,33,3,0.92,0.08,36,0,1.0,0.0,32,4,0.89,0.11,11,25,0.31,0.69,29,7,0.81,0.19,12,24,0.33,0.67,12,24,0.33,0.67,15,21,0.42,0.58,28,8,0.78,0.22,632,268,0.66,0.28,S
big_char_715_F.png,F,F,49,0,1.0,0.0,35,14,0.71,0.29,17,32,0.35,0.65,26,23,0.53,0.47,44,5,0.9,0.1,47,2,0.96,0.04,19,30,0.39,0.61,49,0,1.0,0.0,42,7,0.86,0.14,33,16,0.67,0.33,30,19,0.61,0.39,12,37,0.24,0.76,32,17,0.65,0.35,45,4,0.92,0.08,49,0,1.0,0.0,15,34,0.31,0.69,38,11,0.78,0.22,36,13,0.73,0.27,32,17,0.65,0.35,49,0,1.0,0.0,15,34,0.31,0.69,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0,910,315,0.68,0.24,F
big_char_200_G.png,G,S,49,0,1.0,0.0,36,13,0.73,0.27,23,26,0.47,0.53,24,25,0.49,0.51,42,7,0.86,0.14,29,20,0.59,0.41,35,14,0.71,0.29,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0,25,24,0.51,0.49,49,0,1.0,0.0,15,34,0.31,0.69,9,40,0.18,0.82,26,23,0.53,0.47,32,17,0.65,0.35,22,27,0.45,0.55,30,19,0.61,0.39,24,25,0.49,0.51,11,38,0.22,0.78,49,0,1.0,0.0,47,2,0.96,0.04,42,7,0.86,0.14,41,8,0.84,0.16,30,19,0.61,0.39,837,388,0.63,0.29,G
big_char_617_V.png,V,,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,108,32,0.77,0.23,131,9,0.94,0.06,119,21,0.85,0.15,140,0,1.0,0.0,140,0,1.0,0.0,99,41,0.71,0.29,88,52,0.63,0.37,138,2,0.99,0.01,140,0,1.0,0.0,140,0,1.0,0.0,92,48,0.66,0.34,93,47,0.66,0.34,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,135,5,0.96,0.04,136,4,0.97,0.03,140,0,1.0,0.0,140,0,1.0,0.0,3239,261,0.85,0.07,V
big_char_499_O.png,O,C,31,4,0.89,0.11,13,22,0.37,0.63,29,6,0.83,0.17,35,0,1.0,0.0,35,0,1.0,0.0,13,22,0.37,0.63,28,7,0.8,0.2,28,7,0.8,0.2,13,22,0.37,0.63,35,0,1.0,0.0,11,24,0.31,0.69,33,2,0.94,0.06,35,0,1.0,0.0,22,13,0.63,0.37,23,12,0.66,0.34,24,11,0.69,0.31,12,23,0.34,0.66,28,7,0.8,0.2,27,8,0.77,0.23,11,24,0.31,0.69,35,0,1.0,0.0,27,8,0.77,0.23,11,24,0.31,0.69,11,24,0.31,0.69,27,8,0.77,0.23,597,278,0.68,0.32,O
big_char_765_X.png,X,D,25,24,0.51,0.49,49,0,1.0,0.0,49,0,1.0,0.0,49,0,1.0,0.0,40,9,0.82,0.18,30,19,0.61,0.39,28,21,0.57,0.43,49,0,1.0,0.0,30,19,0.61,0.39,31,18,0.63,0.37,49,0,1.0,0.0,22,27,0.45,0.55,22,27,0.45,0.55,36,13,0.73,0.27,49,0,1.0,0.0,49,0,1.0,0.0,26,23,0.53,0.47,15,34,0.31,0.69,35,14,0.71,0.29,49,0,1.0,0.0,36,13,0.73,0.27,29,20,0.59,0.41,48,1,0.98,0.02,19,30,0.39,0.61,39,10,0.8,0.2,903,322,0.68,0.24,X
big_char_868_L.png,L,,32,3,0.91,0.09,18,17,0.51,0.49,35,0,1.0,0.0,35,0,1.0,0.0,35,0,1.0,0.0,30,5,0.86,0.14,17,18,0.49,0.51,35,0,1.0,0.0,35,0,1.0,0.0,35,0,1.0,0.0,19,16,0.54,0.46,30,5,0.86,0.14,35,0,1.0,0.0,35,0,1.0,0.0,35,0,1.0,0.0,16,19,0.46,0.54,35,0,1.0,0.0,35,0,1.0,0.0,35,0,1.0,0.0,35,0,1.0,0.0,10,25,0.29,0.71,16,19,0.46,0.54,21,14,0.6,0.4,20,15,0.57,0.43,15,20,0.43,0.57,699,176,0.67,0.17,L
big_char_523_H.png,H,N,29,7,0.81,0.19,22,14,0.61,0.39,36,0,1.0,0.0,36,0,1.0,0.0,36,0,1.0,0.0,14,22,0.39,0.61,27,9,0.75,0.25,36,0,1.0,0.0,36,0,1.0,0.0,16,20,0.44,0.56,12,24,0.33,0.67,14,22,0.39,0.61,22,14,0.61,0.39,31,5,0.86,0.14,18,18,0.5,0.5,12,24,0.33,0.67,36,0,1.0,0.0,20,16,0.56,0.44,4,32,0.11,0.89,27,9,0.75,0.25,18,18,0.5,0.5,23,13,0.64,0.36,36,0,1.0,0.0,12,24,0.33,0.67,24,12,0.67,0.33,597,303,0.57,0.29,H
big_char_171_Y.png,Y,Q,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,139,1,0.99,0.01,140,0,1.0,0.0,134,6,0.96,0.04,131,9,0.94,0.06,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,106,34,0.76,0.24,84,56,0.6,0.4,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,123,17,0.88,0.12,70,70,0.5,0.5,137,3,0.98,0.02,140,0,1.0,0.0,140,0,1.0,0.0,120,20,0.86,0.14,129,11,0.92,0.08,113,27,0.81,0.19,140,0,1.0,0.0,3246,254,0.83,0.07,Y
big_char_60_N.png,N,V,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,104,36,0.74,0.26,130,10,0.93,0.07,132,8,0.94,0.06,140,0,1.0,0.0,140,0,1.0,0.0,70,70,0.5,0.5,110,30,0.79,0.21,89,51,0.64,0.36,140,0,1.0,0.0,140,0,1.0,0.0,89,51,0.64,0.36,71,69,0.51,0.49,125,15,0.89,0.11,140,0,1.0,0.0,140,0,1.0,0.0,138,2,0.99,0.01,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,3158,342,0.83,0.09,N
big_char_10_G.png,G,,56,0,1.0,0.0,54,2,0.96,0.04,33,23,0.59,0.41,17,39,0.3,0.7,34,22,0.61,0.39,48,8,0.86,0.14,26,30,0.46,0.54,48,8,0.86,0.14,56,0,1.0,0.0,56,0,1.0,0.0,29,27,0.52,0.48,56,0,1.0,0.0,32,24,0.57,0.43,38,18,0.68,0.32,56,0,1.0,0.0,28,28,0.5,0.5,44,12,0.79,0.21,55,1,0.98,0.02,13,43,0.23,0.77,51,5,0.91,0.09,55,1,0.98,0.02,38,18,0.68,0.32,24,32,0.43,0.57,13,43,0.23,0.77,53,3,0.95,0.05,1013,387,0.67,0.25,G
big_char_977_N.png,N,T,134,6,0.96,0.04,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,140,0,1.0,0.0,130,10,0.93,0.07,139,1,0.99,0.01,117,23,0.84,0.16,140,0,1.0,0.0,118,22,0.84,0.16,135,5,0.96,0.04,81,59,0.58,0.42,96,44,0.69,0.31,135,5,0.96,0.04,102,38,0.73,0.27,140,0,1.0,0.0,83,57,0.59,0.41,75,65,0.54,0.46,81,59,0.58,0.42,136,4,0.97,0.03,140,0,1.0,0.0,129,11,0.92,0.08,117,23,0.84,0.16,129,11,0.92,0.08,140,0,1.0,0.0,3057,443,0.78,0.11,N
big_char_823_C.png,C,C,36,0,1.0,0.0,32,4,0.89,0.11,18,18,0.5,0.5,19,17,0.53,0.47,36,0,1.0,0.0,26,10,0.72,0.28,14,22,0.39,0.61,30,6,0.83,0.17,36,0,1.0,0.0,36,0,1.0,0.0,10,26,0.28,0.72,32,4,0.89,0.11,36,0,1.0,0.0,36,0,1.0,0.0,36,0,1.0,0.0,31,5,0.86,0.14,10,26,0.28,0.72,19,17,0.53,0.47,28,8,0.78,0.22,35,1,0.97,0.03,36,0,1.0,0.0,36,0,1.0,0.0,24,12,0.67,0.33,18,18,0.5,0.5,12,24,0.33,0.67,682,218,0.71,0.23,C
