Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_0_2,Black_0_2,White_Density_0_2,Black_Density_0_2,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,White_1_2,Black_1_2,White_Density_1_2,Black_Density_1_2,White_2_0,Black_2_0,White_Density_2_0,Black_Density_2_0,White_2_1,Black_2_1,White_Density_2_1,Black_Density_2_1,White_2_2,Black_2_2,White_Density_2_2,Black_Density_2_2,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
big_char_1218_M.png,M,M,99,41,0.71,0.29,97,43,0.69,0.31,95,45,0.68,0.32,87,53,0.62,0.38,60,80,0.43,0.57,68,72,0.49,0.51,102,38,0.73,0.27,96,44,0.69,0.31,101,39,0.72,0.28,805,455,0.64,0.36
big_char_1187_Y.png,Y,,99,41,0.71,0.29,140,0,1.00,0.00,111,29,0.79,0.21,106,34,0.76,0.24,103,37,0.74,0.26,67,73,0.48,0.52,120,20,0.86,0.14,95,45,0.68,0.32,79,61,0.56,0.44,920,340,0.73,0.27
big_char_722_Z.png,Z,,118,12,0.91,0.09,81,49,0.62,0.38,64,66,0.49,0.51,91,39,0.70,0.30,61,69,0.47,0.53,88,42,0.68,0.32,80,50,0.62,0.38,82,48,0.63,0.37,98,32,0.75,0.25,763,407,0.63,0.34
big_char_383_S.png,S,S,77,44,0.64,0.36,53,68,0.44,0.56,86,35,0.71,0.29,121,0,1.00,0.00,92,29,0.76,0.24,93,28,0.77,0.23,88,33,0.73,0.27,77,44,0.64,0.36,111,10,0.92,0.08,798,291,0.67,0.24
big_char_495_U.png,U,E,394,20,0.95,0.05,385,29,0.93,0.07,362,52,0.87,0.13,377,37,0.91,0.09,299,115,0.72,0.28,362,52,0.87,0.13,414,0,1.00,0.00,384,30,0.93,0.07,414,0,1.00,0.00,3391,335,0.87,0.09
big_char_678_X.png,X,X,374,34,0.92,0.08,336,72,0.82,0.18,408,0,1.00,0.00,375,33,0.92,0.08,278,130,0.68,0.32,408,0,1.00,0.00,399,9,0.98,0.02,389,19,0.95,0.05,408,0,1.00,0.00,3375,297,0.88,0.08
big_char_940_E.png,E,E,351,63,0.85,0.15,333,81,0.80,0.20,394,20,0.95,0.05,368,46,0.89,0.11,303,111,0.73,0.27,414,0,1.00,0.00,346,68,0.84,0.16,354,60,0.86,0.14,414,0,1.00,0.00,3277,449,0.84,0.11
big_char_1342_O.png,O,O,64,17,0.79,0.21,37,44,0.46,0.54,71,10,0.88,0.12,51,30,0.63,0.37,80,1,0.99,0.01,38,43,0.47,0.53,48,33,0.59,0.41,43,38,0.53,0.47,46,35,0.57,0.43,478,251,0.61,0.32
big_char_923_F.png,F,C,82,39,0.68,0.32,73,48,0.60,0.40,80,41,0.66,0.34,41,80,0.34,0.66,74,47,0.61,0.39,102,19,0.84,0.16,57,64,0.47,0.53,120,1,0.99,0.01,121,0,1.00,0.00,750,339,0.65,0.29
big_char_532_V.png,V,,87,43,0.67,0.33,130,0,1.00,0.00,85,45,0.65,0.35,79,51,0.61,0.39,95,35,0.73,0.27,104,26,0.80,0.20,80,50,0.62,0.38,80,50,0.62,0.38,130,0,1.00,0.00,870,300,0.68,0.23
big_char_842_C.png,C,,407,1,1.00,0.00,352,56,0.86,0.14,408,0,1.00,0.00,387,21,0.95,0.05,333,75,0.82,0.18,406,2,1.00,0.00,408,0,1.00,0.00,332,76,0.81,0.19,391,17,0.96,0.04,3424,248,0.90,0.06
big_char_1216_C.png,C,,408,0,1.00,0.00,368,40,0.90,0.10,408,0,1.00,0.00,344,64,0.84,0.16,378,30,0.93,0.07,408,0,1.00,0.00,375,33,0.92,0.08,333,75,0.82,0.18,408,0,1.00,0.00,3430,242,0.90,0.06
big_char_91_B.png,B,R,98,28,0.78,0.22,84,42,0.67,0.33,58,68,0.46,0.54,79,47,0.63,0.37,42,84,0.33,0.67,102,24,0.81,0.19,61,65,0.48,0.52,86,40,0.68,0.32,76,50,0.60,0.40,686,448,0.60,0.40
big_char_905_D.png,D,O,375,33,0.92,0.08,407,1,1.00,0.00,407,1,1.00,0.00,337,71,0.83,0.17,306,102,0.75,0.25,408,0,1.00,0.00,347,61,0.85,0.15,324,84,0.79,0.21,407,1,1.00,0.00,3318,354,0.87,0.09
big_char_930_Z.png,Z,Z,105,38,0.73,0.27,93,50,0.65,0.35,99,44,0.69,0.31,127,16,0.89,0.11,63,80,0.44,0.56,108,35,0.76,0.24,90,53,0.63,0.37,105,38,0.73,0.27,110,33,0.77,0.23,900,387,0.67,0.29
big_char_1314_S.png,S,,88,12,0.88,0.12,42,58,0.42,0.58,73,27,0.73,0.27,100,0,1.00,0.00,65,35,0.65,0.35,90,10,0.90,0.10,63,37,0.63,0.37,62,38,0.62,0.38,49,51,0.49,0.51,632,268,0.64,0.27
big_char_1169_R.png,R,,414,0,1.00,0.00,337,77,0.81,0.19,414,0,1.00,0.00,393,21,0.95,0.05,225,189,0.54,0.46,414,0,1.00,0.00,414,0,1.00,0.00,382,32,0.92,0.08,382,32,0.92,0.08,3375,351,0.86,0.09
big_char_717_R.png,R,R,96,47,0.67,0.33,80,63,0.56,0.44,121,22,0.85,0.15,50,93,0.35,0.65,85,58,0.59,0.41,142,1,0.99,0.01,113,30,0.79,0.21,103,40,0.72,0.28,95,48,0.66,0.34,885,402,0.67,0.30
big_char_633_V.png,V,,63,37,0.63,0.37,100,0,1.00,0.00,65,35,0.65,0.35,59,41,0.59,0.41,64,36,0.64,0.36,81,19,0.81,0.19,54,46,0.54,0.46,57,43,0.57,0.43,100,0,1.00,0.00,643,257,0.67,0.27
big_char_390_X.png,X,X,68,13,0.84,0.16,68,13,0.84,0.16,46,35,0.57,0.43,78,3,0.96,0.04,13,68,0.16,0.84,73,8,0.90,0.10,49,32,0.60,0.40,40,41,0.49,0.51,70,11,0.86,0.14,505,224,0.60,0.27
big_char_1379_H.png,H,,97,35,0.73,0.27,123,9,0.93,0.07,97,35,0.73,0.27,84,48,0.64,0.36,63,69,0.48,0.52,62,70,0.47,0.53,81,51,0.61,0.39,89,43,0.67,0.33,76,56,0.58,0.42,772,416,0.60,0.32
big_char_650_B.png,B,,90,18,0.83,0.17,64,44,0.59,0.41,56,52,0.52,0.48,59,49,0.55,0.45,49,59,0.45,0.55,90,18,0.83,0.17,32,76,0.30,0.70,44,64,0.41,0.59,89,19,0.82,0.18,573,399,0.56,0.39
big_char_29_B.png,B,R,85,27,0.76,0.24,62,50,0.55,0.45,67,45,0.60,0.40,43,69,0.38,0.62,52,60,0.46,0.54,93,19,0.83,0.17,59,53,0.53,0.47,82,30,0.73,0.27,59,53,0.53,0.47,602,406,0.58,0.39
big_char_162_E.png,E,V,94,50,0.65,0.35,71,73,0.49,0.51,121,23,0.84,0.16,142,2,0.99,0.01,55,89,0.38,0.62,99,45,0.69,0.31,84,60,0.58,0.42,104,40,0.72,0.28,119,25,0.83,0.17,889,407,0.62,0.28
big_char_484_K.png,K,,425,7,0.98,0.02,432,0,1.00,0.00,432,0,1.00,0.00,337,95,0.78,0.22,366,66,0.85,0.15,432,0,1.00,0.00,347,85,0.80,0.20,336,96,0.78,0.22,422,10,0.98,0.02,3529,359,0.89,0.09
big_char_80_J.png,J,J,151,5,0.97,0.03,79,77,0.51,0.49,107,49,0.69,0.31,119,37,0.76,0.24,113,43,0.72,0.28,156,0,1.00,0.00,121,35,0.78,0.22,80,76,0.51,0.49,156,0,1.00,0.00,1082,322,0.75,0.22
big_char_349_N.png,N,,115,11,0.91,0.09,102,24,0.81,0.19,101,25,0.80,0.20,72,54,0.57,0.43,98,28,0.78,0.22,90,36,0.71,0.29,83,43,0.66,0.34,60,66,0.48,0.52,64,62,0.51,0.49,785,349,0.63,0.28
big_char_1277_U.png,U,C,76,45,0.63,0.37,121,0,1.00,0.00,110,11,0.91,0.09,71,50,0.59,0.41,121,0,1.00,0.00,71,50,0.59,0.41,91,30,0.75,0.25,72,49,0.60,0.40,77,44,0.64,0.36,810,279,0.70,0.24
big_char_101_Q.png,Q,,97,35,0.73,0.27,91,41,0.69,0.31,129,3,0.98,0.02,84,48,0.64,0.36,85,47,0.64,0.36,75,57,0.57,0.43,86,46,0.65,0.35,81,51,0.61,0.39,69,63,0.52,0.48,797,391,0.65,0.32
big_char_324_B.png,B,,406,8,0.98,0.02,326,88,0.79,0.21,413,1,1.00,0.00,333,81,0.80,0.20,302,112,0.73,0.27,414,0,1.00,0.00,360,54,0.87,0.13,362,52,0.87,0.13,414,0,1.00,0.00,3330,396,0.87,0.10
big_char_263_R.png,R,,372,42,0.90,0.10,371,43,0.90,0.10,414,0,1.00,0.00,271,143,0.65,0.35,371,43,0.90,0.10,414,0,1.00,0.00,412,2,1.00,0.00,368,46,0.89,0.11,414,0,1.00,0.00,3407,319,0.89,0.08
big_char_1022_X.png,X,,432,0,1.00,0.00,413,19,0.96,0.04,420,12,0.97,0.03,432,0,1.00,0.00,260,172,0.60,0.40,431,1,1.00,0.00,430,2,1.00,0.00,328,104,0.76,0.24,432,0,1.00,0.00,3578,310,0.91,0.08
big_char_30_C.png,C,,103,18,0.85,0.15,77,44,0.64,0.36,93,28,0.77,0.23,79,42,0.65,0.35,121,0,1.00,0.00,121,0,1.00,0.00,84,37,0.69,0.31,78,43,0.64,0.36,87,34,0.72,0.28,843,246,0.75,0.22
big_char_825_S.png,S,N,110,0,1.00,0.00,57,53,0.52,0.48,74,36,0.67,0.33,110,0,1.00,0.00,81,29,0.74,0.26,102,8,0.93,0.07,75,35,0.68,0.32,77,33,0.70,0.30,73,37,0.66,0.34,759,231,0.72,0.22
big_char_121_T.png,T,P,92,52,0.64,0.36,72,72,0.50,0.50,90,54,0.62,0.38,143,1,0.99,0.01,108,36,0.75,0.25,144,0,1.00,0.00,121,23,0.84,0.16,138,6,0.96,0.04,144,0,1.00,0.00,1052,244,0.78,0.18
big_char_1420_R.png,R,R,87,45,0.66,0.34,67,65,0.51,0.49,119,13,0.90,0.10,60,72,0.45,0.55,48,84,0.36,0.64,131,1,0.99,0.01,86,46,0.65,0.35,120,12,0.91,0.09,95,37,0.72,0.28,813,375,0.68,0.32
big_char_735_B.png,B,,97,38,0.72,0.28,88,47,0.65,0.35,70,65,0.52,0.48,61,74,0.45,0.55,71,64,0.53,0.47,130,5,0.96,0.04,77,58,0.57,0.43,73,62,0.54,0.46,128,7,0.95,0.05,795,420,0.65,0.35
big_char_700_K.png,K,,401,31,0.93,0.07,415,17,0.96,0.04,431,1,1.00,0.00,337,95,0.78,0.22,294,138,0.68,0.32,431,1,1.00,0.00,396,36,0.92,0.08,318,114,0.74,0.26,423,9,0.98,0.02,3446,442,0.89,0.11
big_char_1170_S.png,S,S,432,0,1.00,0.00,432,0,1.00,0.00,430,2,1.00,0.00,432,0,1.00,0.00,276,156,0.64,0.36,432,0,1.00,0.00,432,0,1.00,0.00,318,114,0.74,0.26,432,0,1.00,0.00,3616,272,0.91,0.07
big_char_838_V.png,V,Y,81,51,0.61,0.39,132,0,1.00,0.00,105,27,0.80,0.20,86,46,0.65,0.35,91,41,0.69,0.31,102,30,0.77,0.23,126,6,0.95,0.05,83,49,0.63,0.37,132,0,1.00,0.00,938,250,0.72,0.19
big_char_756_A.png,A,A,120,6,0.95,0.05,74,52,0.59,0.41,81,45,0.64,0.36,69,57,0.55,0.45,77,49,0.61,0.39,66,60,0.52,0.48,83,43,0.66,0.34,126,0,1.00,0.00,63,63,0.50,0.50,759,375,0.65,0.32
big_char_763_H.png,H,,98,34,0.74,0.26,132,0,1.00,0.00,78,54,0.59,0.41,72,60,0.55,0.45,77,55,0.58,0.42,39,93,0.30,0.70,71,61,0.54,0.46,82,50,0.62,0.38,69,63,0.52,0.48,718,470,0.57,0.37
big_char_1113_P.png,P,,413,19,0.96,0.04,368,64,0.85,0.15,432,0,1.00,0.00,328,104,0.76,0.24,352,80,0.81,0.19,432,0,1.00,0.00,384,48,0.89,0.11,432,0,1.00,0.00,430,2,1.00,0.00,3571,317,0.92,0.08
big_char_713_A.png,A,,121,9,0.93,0.07,70,60,0.54,0.46,62,68,0.48,0.52,73,57,0.56,0.44,90,40,0.69,0.31,49,81,0.38,0.62,97,33,0.75,0.25,130,0,1.00,0.00,78,52,0.60,0.40,770,400,0.62,0.32
big_char_410_T.png,T,F,100,54,0.65,0.35,67,87,0.44,0.56,96,58,0.62,0.38,141,13,0.92,0.08,116,38,0.75,0.25,154,0,1.00,0.00,112,42,0.73,0.27,153,1,0.99,0.01,154,0,1.00,0.00,1093,293,0.73,0.19
big_char_844_E.png,E,,366,25,0.94,0.06,352,39,0.90,0.10,368,23,0.94,0.06,375,16,0.96,0.04,204,187,0.52,0.48,387,4,0.99,0.01,352,39,0.90,0.10,289,102,0.74,0.26,376,15,0.96,0.04,3069,450,0.82,0.12
big_char_946_U.png,U,U,360,31,0.92,0.08,356,35,0.91,0.09,390,1,1.00,0.00,322,69,0.82,0.18,316,75,0.81,0.19,391,0,1.00,0.00,366,25,0.94,0.06,322,69,0.82,0.18,391,0,1.00,0.00,3214,305,0.87,0.08
big_char_123_V.png,V,,104,26,0.80,0.20,130,0,1.00,0.00,91,39,0.70,0.30,85,45,0.65,0.35,92,38,0.71,0.29,99,31,0.76,0.24,97,33,0.75,0.25,89,41,0.68,0.32,130,0,1.00,0.00,917,253,0.74,0.20
big_char_683_H.png,H,N,65,43,0.60,0.40,108,0,1.00,0.00,69,39,0.64,0.36,47,61,0.44,0.56,62,46,0.57,0.43,57,51,0.53,0.47,75,33,0.69,0.31,107,1,0.99,0.01,42,66,0.39,0.61,632,340,0.63,0.34
big_char_79_Y.png,Y,XY,92,48,0.66,0.34,132,8,0.94,0.06,95,45,0.68,0.32,118,22,0.84,0.16,101,39,0.72,0.28,68,72,0.49,0.51,92,48,0.66,0.34,104,36,0.74,0.26,79,61,0.56,0.44,881,379,0.70,0.30
big_char_859_W.png,W,,407,1,1.00,0.00,391,17,0.96,0.04,408,0,1.00,0.00,330,78,0.81,0.19,316,92,0.77,0.23,346,62,0.85,0.15,399,9,0.98,0.02,299,109,0.73,0.27,392,16,0.96,0.04,3288,384,0.86,0.10
big_char_938_S.png,S,ST,391,0,1.00,0.00,352,39,0.90,0.10,380,11,0.97,0.03,382,9,0.98,0.02,297,94,0.76,0.24,369,22,0.94,0.06,368,23,0.94,0.06,331,60,0.85,0.15,391,0,1.00,0.00,3261,258,0.88,0.07
big_char_645_N.png,N,,432,0,1.00,0.00,432,0,1.00,0.00,431,1,1.00,0.00,328,104,0.76,0.24,362,70,0.84,0.16,410,22,0.95,0.05,379,53,0.88,0.12,332,100,0.77,0.23,432,0,1.00,0.00,3538,350,0.91,0.09
big_char_1181_K.png,K,K,65,55,0.54,0.46,92,28,0.77,0.23,84,36,0.70,0.30,42,78,0.35,0.65,114,6,0.95,0.05,120,0,1.00,0.00,56,64,0.47,0.53,76,44,0.63,0.37,81,39,0.68,0.33,730,350,0.62,0.30
big_char_118_R.png,R,R,100,32,0.76,0.24,51,81,0.39,0.61,127,5,0.96,0.04,41,91,0.31,0.69,104,28,0.79,0.21,132,0,1.00,0.00,105,27,0.80,0.20,88,44,0.67,0.33,93,39,0.70,0.30,841,347,0.67,0.28
big_char_1102_Z.png,Z,Z,101,19,0.84,0.16,63,57,0.53,0.47,106,14,0.88,0.12,100,20,0.83,0.17,48,72,0.40,0.60,78,42,0.65,0.35,54,66,0.45,0.55,78,42,0.65,0.35,91,29,0.76,0.24,719,361,0.59,0.30
big_char_350_Z.png,Z,,102,41,0.71,0.29,59,84,0.41,0.59,134,9,0.94,0.06,115,28,0.80,0.20,61,82,0.43,0.57,109,34,0.76,0.24,94,49,0.66,0.34,92,51,0.64,0.36,106,37,0.74,0.26,872,415,0.64,0.31
big_char_294_L.png,L,C,413,1,1.00,0.00,407,7,0.98,0.02,406,8,0.98,0.02,347,67,0.84,0.16,414,0,1.00,0.00,414,0,1.00,0.00,322,92,0.78,0.22,320,94,0.77,0.23,413,1,1.00,0.00,3456,270,0.90,0.07
