Image,Expected_Letter,Ocp_Letter,White_0_0,Black_0_0,White_Density_0_0,Black_Density_0_0,White_0_1,Black_0_1,White_Density_0_1,Black_Density_0_1,White_1_0,Black_1_0,White_Density_1_0,Black_Density_1_0,White_1_1,Black_1_1,White_Density_1_1,Black_Density_1_1,Total_White_Pixels,Total_Black_Pixels,Total_White_Density,Total_Black_Density
big_char_903_C.png,C,C,931,77,0.92,0.08,980,28,0.97,0.03,891,117,0.88,0.12,959,49,0.95,0.05,3761,271,0.93,0.07
big_char_973_J.png,J,R,841,104,0.89,0.11,907,38,0.96,0.04,824,121,0.87,0.13,901,44,0.95,0.05,3473,307,0.90,0.08
big_char_1357_C.png,C,C,259,64,0.80,0.20,274,49,0.85,0.15,228,95,0.71,0.29,260,63,0.80,0.20,1021,271,0.77,0.20
big_char_88_B.png,B,,770,140,0.85,0.15,784,126,0.86,0.14,805,105,0.88,0.12,833,77,0.92,0.08,3192,448,0.85,0.12
big_char_199_U.png,U,,893,52,0.94,0.06,872,73,0.92,0.08,844,101,0.89,0.11,848,97,0.90,0.10,3457,323,0.90,0.08
big_char_1406_P.png,P,,120,72,0.62,0.38,95,97,0.49,0.51,112,80,0.58,0.42,192,0,1.00,0.00,519,249,0.63,0.30
big_char_770_T.png,T,,224,82,0.73,0.27,203,103,0.66,0.34,276,30,0.90,0.10,270,36,0.88,0.12,973,251,0.79,0.21
big_char_164_U.png,U,U,868,77,0.92,0.08,860,85,0.91,0.09,869,76,0.92,0.08,836,109,0.88,0.12,3433,347,0.88,0.09
big_char_95_P.png,P,C,851,59,0.94,0.06,755,155,0.83,0.17,842,68,0.93,0.07,906,4,1.00,0.00,3354,286,0.90,0.08
big_char_893_J.png,J,V,176,79,0.69,0.31,180,75,0.71,0.29,184,71,0.72,0.28,194,61,0.76,0.24,734,286,0.70,0.27
big_char_901_A.png,A,A,898,74,0.92,0.08,893,79,0.92,0.08,858,114,0.88,0.12,880,92,0.91,0.09,3529,359,0.89,0.09
big_char_560_Y.png,Y,,277,63,0.81,0.19,230,110,0.68,0.32,265,75,0.78,0.22,228,112,0.67,0.33,1000,360,0.72,0.26
big_char_226_S.png,S,,215,25,0.90,0.10,147,93,0.61,0.39,169,71,0.70,0.30,161,79,0.67,0.33,692,268,0.72,0.28
big_char_715_F.png,F,F,236,88,0.73,0.27,258,66,0.80,0.20,196,128,0.60,0.40,291,33,0.90,0.10,981,315,0.74,0.24
big_char_200_G.png,G,S,244,80,0.75,0.25,249,75,0.77,0.23,241,83,0.74,0.26,172,152,0.53,0.47,906,390,0.68,0.29
big_char_617_V.png,V,,883,53,0.94,0.06,876,60,0.94,0.06,798,138,0.85,0.15,926,10,0.99,0.01,3483,261,0.91,0.07
big_char_499_O.png,O,C,134,70,0.66,0.34,165,39,0.81,0.19,133,71,0.65,0.35,106,98,0.52,0.48,538,278,0.61,0.32
big_char_765_X.png,X,D,230,93,0.71,0.29,256,67,0.79,0.21,244,79,0.76,0.24,236,87,0.73,0.27,966,326,0.73,0.25
big_char_868_L.png,L,,192,60,0.76,0.24,252,0,1.00,0.00,148,104,0.59,0.41,184,68,0.73,0.27,776,232,0.74,0.22
big_char_523_H.png,H,N,155,100,0.61,0.39,215,40,0.84,0.16,183,72,0.72,0.28,150,105,0.59,0.41,703,317,0.67,0.30
big_char_171_Y.png,Y,Q,922,50,0.95,0.05,945,27,0.97,0.03,869,103,0.89,0.11,859,113,0.88,0.12,3595,293,0.92,0.08
big_char_60_N.png,N,V,831,105,0.89,0.11,901,35,0.96,0.04,807,129,0.86,0.14,863,73,0.92,0.08,3402,342,0.89,0.09
big_char_10_G.png,G,,301,79,0.79,0.21,290,90,0.76,0.24,294,86,0.77,0.23,244,136,0.64,0.36,1129,391,0.74,0.26
big_char_977_N.png,N,T,863,109,0.89,0.11,922,50,0.95,0.05,800,172,0.82,0.18,853,119,0.88,0.12,3438,450,0.87,0.11
big_char_823_C.png,C,C,174,66,0.72,0.28,215,25,0.90,0.10,173,67,0.72,0.28,178,62,0.74,0.26,740,220,0.77,0.23
big_char_1174_V.png,V,,903,42,0.96,0.04,912,33,0.97,0.03,820,125,0.87,0.13,865,80,0.92,0.08,3500,280,0.90,0.07
big_char_1117_U.png,U,K,926,19,0.98,0.02,945,0,1.00,0.00,762,183,0.81,0.19,945,0,1.00,0.00,3578,202,0.93,0.05
big_char_809_M.png,M,M,777,133,0.85,0.15,820,90,0.90,0.10,767,143,0.84,0.16,856,54,0.94,0.06,3220,420,0.86,0.11
big_char_1218_M.png,M,M,184,131,0.58,0.42,210,105,0.67,0.33,211,104,0.67,0.33,200,115,0.63,0.37,805,455,0.64,0.36
big_char_1187_Y.png,Y,,245,70,0.78,0.22,246,69,0.78,0.22,251,64,0.80,0.20,178,137,0.57,0.43,920,340,0.73,0.27
big_char_722_Z.png,Z,,246,39,0.86,0.14,163,122,0.57,0.43,144,141,0.51,0.49,180,105,0.63,0.37,733,407,0.61,0.34
big_char_383_S.png,S,S,193,96,0.67,0.33,201,88,0.70,0.30,232,57,0.80,0.20,239,50,0.83,0.17,865,291,0.73,0.24
big_char_495_U.png,U,E,864,81,0.91,0.09,843,102,0.89,0.11,871,74,0.92,0.08,866,79,0.92,0.08,3444,336,0.88,0.09
big_char_678_X.png,X,X,794,142,0.85,0.15,891,45,0.95,0.05,828,108,0.88,0.12,934,2,1.00,0.00,3447,297,0.90,0.08
big_char_940_E.png,E,E,777,168,0.82,0.18,911,34,0.96,0.04,738,207,0.78,0.22,904,41,0.96,0.04,3330,450,0.85,0.12
big_char_1342_O.png,O,O,137,59,0.70,0.30,141,55,0.72,0.28,130,66,0.66,0.34,125,71,0.64,0.36,533,251,0.68,0.32
big_char_923_F.png,F,C,161,111,0.59,0.41,198,74,0.73,0.27,153,119,0.56,0.44,237,35,0.87,0.13,749,339,0.65,0.29
big_char_532_V.png,V,,248,72,0.78,0.23,237,83,0.74,0.26,200,120,0.62,0.38,295,25,0.92,0.08,980,300,0.77,0.23
big_char_842_C.png,C,,858,78,0.92,0.08,913,23,0.98,0.02,864,72,0.92,0.08,861,75,0.92,0.08,3496,248,0.92,0.06
big_char_1216_C.png,C,,863,73,0.92,0.08,909,27,0.97,0.03,821,115,0.88,0.12,909,27,0.97,0.03,3502,242,0.92,0.06
big_char_91_B.png,B,R,179,94,0.66,0.34,141,132,0.52,0.48,155,118,0.57,0.43,169,104,0.62,0.38,644,448,0.57,0.40
big_char_905_D.png,D,O,801,135,0.86,0.14,928,8,0.99,0.01,801,135,0.86,0.14,860,76,0.92,0.08,3390,354,0.89,0.09
big_char_930_Z.png,Z,Z,259,61,0.81,0.19,215,105,0.67,0.33,205,115,0.64,0.36,200,120,0.62,0.38,879,401,0.65,0.30
big_char_1314_S.png,S,,177,63,0.74,0.26,178,62,0.74,0.26,183,57,0.76,0.24,154,86,0.64,0.36,692,268,0.70,0.27
big_char_1169_R.png,R,,814,131,0.86,0.14,898,47,0.95,0.05,855,90,0.90,0.10,862,83,0.91,0.09,3429,351,0.88,0.09
big_char_717_R.png,R,R,186,137,0.58,0.42,247,76,0.76,0.24,207,116,0.64,0.36,250,73,0.77,0.23,890,402,0.67,0.30
big_char_633_V.png,V,,184,56,0.77,0.23,173,67,0.72,0.28,127,113,0.53,0.47,215,25,0.90,0.10,699,261,0.73,0.27
big_char_390_X.png,X,X,147,49,0.75,0.25,133,63,0.68,0.32,128,68,0.65,0.35,148,48,0.76,0.24,556,228,0.66,0.27
big_char_1379_H.png,H,,217,106,0.67,0.33,239,84,0.74,0.26,225,98,0.70,0.30,192,131,0.59,0.41,873,419,0.68,0.32
big_char_650_B.png,B,,172,75,0.70,0.30,127,120,0.51,0.49,120,127,0.49,0.51,167,80,0.68,0.32,586,402,0.57,0.39
big_char_29_B.png,B,R,141,111,0.56,0.44,155,97,0.62,0.38,152,100,0.60,0.40,154,98,0.61,0.39,602,406,0.58,0.39
big_char_162_E.png,E,V,232,129,0.64,0.36,268,93,0.74,0.26,234,127,0.65,0.35,286,75,0.79,0.21,1020,424,0.71,0.29
big_char_484_K.png,K,,886,86,0.91,0.09,957,15,0.98,0.02,769,203,0.79,0.21,917,55,0.94,0.06,3529,359,0.89,0.09
big_char_80_J.png,J,J,301,41,0.88,0.12,214,128,0.63,0.37,262,80,0.77,0.23,269,73,0.79,0.21,1046,322,0.72,0.22
big_char_349_N.png,N,,216,78,0.73,0.27,249,45,0.85,0.15,177,117,0.60,0.40,182,112,0.62,0.38,824,352,0.66,0.28
big_char_1277_U.png,U,C,216,73,0.75,0.25,251,38,0.87,0.13,212,77,0.73,0.27,198,91,0.69,0.31,877,279,0.76,0.24
big_char_101_Q.png,Q,,226,80,0.74,0.26,248,58,0.81,0.19,182,124,0.59,0.41,177,129,0.58,0.42,833,391,0.68,0.32
big_char_324_B.png,B,,792,153,0.84,0.16,896,49,0.95,0.05,755,190,0.80,0.20,941,4,1.00,0.00,3384,396,0.88,0.10
big_char_263_R.png,R,,754,191,0.80,0.20,945,0,1.00,0.00,824,121,0.87,0.13,938,7,0.99,0.01,3461,319,0.90,0.08
big_char_1022_X.png,X,,928,44,0.95,0.05,886,86,0.91,0.09,858,114,0.88,0.12,906,66,0.93,0.07,3578,310,0.91,0.08
big_char_30_C.png,C,,208,64,0.76,0.24,226,46,0.83,0.17,190,82,0.70,0.30,218,54,0.80,0.20,842,246,0.75,0.22
big_char_825_S.png,S,N,225,31,0.88,0.12,174,82,0.68,0.32,203,53,0.79,0.21,183,73,0.71,0.29,785,239,0.74,0.23
big_char_121_T.png,T,P,227,109,0.68,0.32,250,86,0.74,0.26,287,49,0.85,0.15,336,0,1.00,0.00,1100,244,0.82,0.18
big_char_1420_R.png,R,R,148,140,0.51,0.49,216,72,0.75,0.25,195,93,0.68,0.32,218,70,0.76,0.24,777,375,0.65,0.32
big_char_735_B.png,B,,166,120,0.58,0.42,178,108,0.62,0.38,165,121,0.58,0.42,215,71,0.75,0.25,724,420,0.60,0.35
big_char_700_K.png,K,,866,106,0.89,0.11,897,75,0.92,0.08,771,201,0.79,0.21,912,60,0.94,0.06,3446,442,0.89,0.11
big_char_1170_S.png,S,S,903,69,0.93,0.07,933,39,0.96,0.04,889,83,0.91,0.09,891,81,0.92,0.08,3616,272,0.91,0.07
big_char_838_V.png,V,Y,229,77,0.75,0.25,246,60,0.80,0.20,219,87,0.72,0.28,279,27,0.91,0.09,973,251,0.75,0.19
big_char_756_A.png,A,A,192,81,0.70,0.30,181,92,0.66,0.34,189,84,0.69,0.31,155,118,0.57,0.43,717,375,0.62,0.32
big_char_763_H.png,H,,211,95,0.69,0.31,208,98,0.68,0.32,192,114,0.63,0.37,143,163,0.47,0.53,754,470,0.60,0.37
big_char_1113_P.png,P,,828,144,0.85,0.15,926,46,0.95,0.05,847,125,0.87,0.13,970,2,1.00,0.00,3571,317,0.92,0.08
big_char_713_A.png,A,,208,96,0.68,0.32,152,152,0.50,0.50,237,67,0.78,0.22,205,99,0.67,0.33,802,414,0.64,0.33
big_char_410_T.png,T,F,222,135,0.62,0.38,264,93,0.74,0.26,292,65,0.82,0.18,357,0,1.00,0.00,1135,293,0.75,0.19
big_char_844_E.png,E,,792,118,0.87,0.13,838,72,0.92,0.08,756,154,0.83,0.17,803,107,0.88,0.12,3189,451,0.85,0.12
big_char_946_U.png,U,U,846,64,0.93,0.07,839,71,0.92,0.08,798,112,0.88,0.12,852,58,0.94,0.06,3335,305,0.90,0.08
big_char_123_V.png,V,,255,45,0.85,0.15,225,75,0.75,0.25,195,105,0.65,0.35,272,28,0.91,0.09,947,253,0.76,0.20
big_char_683_H.png,H,N,156,96,0.62,0.38,188,64,0.75,0.25,187,65,0.74,0.26,137,115,0.54,0.46,668,340,0.66,0.34
big_char_79_Y.png,Y,XY,230,85,0.73,0.27,210,105,0.67,0.33,245,70,0.78,0.22,196,119,0.62,0.38,881,379,0.70,0.30
big_char_859_W.png,W,,824,112,0.88,0.12,909,27,0.97,0.03,809,127,0.86,0.14,817,119,0.87,0.13,3359,385,0.88,0.10
big_char_938_S.png,S,ST,861,49,0.95,0.05,825,85,0.91,0.09,806,104,0.89,0.11,889,21,0.98,0.02,3381,259,0.92,0.07
big_char_645_N.png,N,,939,33,0.97,0.03,942,30,0.97,0.03,768,204,0.79,0.21,889,83,0.91,0.09,3538,350,0.91,0.09
big_char_1181_K.png,K,K,177,111,0.61,0.39,236,52,0.82,0.18,154,134,0.53,0.47,233,55,0.81,0.19,800,352,0.68,0.30
big_char_118_R.png,R,R,174,130,0.57,0.43,246,58,0.81,0.19,213,91,0.70,0.30,235,69,0.77,0.23,868,348,0.69,0.28
big_char_1102_Z.png,Z,Z,230,74,0.76,0.24,220,84,0.72,0.28,180,124,0.59,0.41,214,90,0.70,0.30,844,372,0.69,0.31
big_char_350_Z.png,Z,,223,97,0.70,0.30,186,134,0.58,0.42,211,109,0.66,0.34,245,75,0.77,0.23,865,415,0.64,0.31
big_char_294_L.png,L,C,926,19,0.98,0.02,930,15,0.98,0.02,757,188,0.80,0.20,897,48,0.95,0.05,3510,270,0.92,0.07
big_char_670_E.png,E,,846,99,0.90,0.10,894,51,0.95,0.05,757,188,0.80,0.20,889,56,0.94,0.06,3386,394,0.88,0.10
big_char_1154_P.png,P,,119,61,0.66,0.34,99,81,0.55,0.45,96,84,0.53,0.47,155,25,0.86,0.14,469,251,0.61,0.32
big_char_8_T.png,T,F,163,75,0.68,0.32,149,89,0.63,0.37,184,54,0.77,0.23,236,2,0.99,0.01,732,220,0.74,0.22
big_char_403_K.png,K,L,271,109,0.71,0.29,298,82,0.78,0.22,197,183,0.52,0.48,301,79,0.79,0.21,1067,453,0.67,0.28
big_char_527_O.png,O,O,165,75,0.69,0.31,181,59,0.75,0.25,165,75,0.69,0.31,155,85,0.65,0.35,666,294,0.69,0.31
big_char_97_Q.png,Q,Q,888,84,0.91,0.09,809,163,0.83,0.17,927,45,0.95,0.05,846,126,0.87,0.13,3470,418,0.89,0.11
big_char_544_L.png,L,,899,46,0.95,0.05,933,12,0.99,0.01,820,125,0.87,0.13,900,45,0.95,0.05,3552,228,0.93,0.06
big_char_871_Y.png,Y,,259,81,0.76,0.24,220,120,0.65,0.35,271,69,0.80,0.20,217,123,0.64,0.36,967,393,0.67,0.27
big_char_32_T.png,T,,202,118,0.63,0.37,236,84,0.74,0.26,261,59,0.82,0.18,320,0,1.00,0.00,1019,261,0.80,0.20
big_char_834_N.png,N,,237,71,0.77,0.23,261,47,0.85,0.15,204,104,0.66,0.34,216,92,0.70,0.30,918,314,0.70,0.24
big_char_925_C.png,C,,885,87,0.91,0.09,940,32,0.97,0.03,885,87,0.91,0.09,919,53,0.95,0.05,3629,259,0.90,0.06
big_char_929_Y.png,Y,M,228,87,0.72,0.28,188,127,0.60,0.40,256,59,0.81,0.19,184,131,0.58,0.42,856,404,0.64,0.30
big_char_602_N.png,N,,214,108,0.66,0.34,280,42,0.87,0.13,228,94,0.71,0.29,243,79,0.75,0.25,965,323,0.73,0.25
big_char_296_N.png,N,F,874,62,0.93,0.07,909,27,0.97,0.03,746,190,0.80,0.20,860,76,0.92,0.08,3389,355,0.88,0.09
big_char_1037_V.png,V,A,907,65,0.93,0.07,935,37,0.96,0.04,818,154,0.84,0.16,969,3,1.00,0.00,3629,259,0.92,0.07
big_char_285_S.png,S,S,215,74,0.74,0.26,181,108,0.63,0.37,229,60,0.79,0.21,212,77,0.73,0.27,837,319,0.72,0.28
big_char_429_R.png,R,,202,121,0.63,0.37,231,92,0.72,0.28,194,129,0.60,0.40,255,68,0.79,0.21,882,410,0.67,0.31
big_char_1092_S.png,S,,158,67,0.70,0.30,153,72,0.68,0.32,172,53,0.76,0.24,139,86,0.62,0.38,622,278,0.67,0.30
big_char_304_E.png,E,,227,169,0.57,0.43,289,107,0.73,0.27,259,137,0.65,0.35,373,23,0.94,0.06,1148,436,0.69,0.26
big_char_1072_A.png,A,A,913,23,0.98,0.02,799,137,0.85,0.15,831,105,0.89,0.11,793,143,0.85,0.15,3336,408,0.87,0.11
big_char_1190_T.png,T,C,240,102,0.70,0.30,242,100,0.71,0.29,281,61,0.82,0.18,342,0,1.00,0.00,1105,263,0.81,0.19
big_char_220_A.png,A,,868,104,0.89,0.11,878,94,0.90,0.10,873,99,0.90,0.10,868,104,0.89,0.11,3487,401,0.88,0.10
big_char_387_T.png,T,,215,89,0.71,0.29,178,126,0.59,0.41,249,55,0.82,0.18,289,15,0.95,0.05,931,285,0.77,0.23
big_char_265_A.png,A,A,226,59,0.79,0.21,163,122,0.57,0.43,181,104,0.64,0.36,180,105,0.63,0.37,750,390,0.64,0.33
big_char_649_A.png,A,A,172,66,0.72,0.28,100,138,0.42,0.58,162,76,0.68,0.32,148,90,0.62,0.38,582,370,0.57,0.36
big_char_728_E.png,E,,900,72,0.93,0.07,880,92,0.91,0.09,812,160,0.84,0.16,841,131,0.87,0.13,3433,455,0.87,0.11
big_char_1393_D.png,D,D,903,69,0.93,0.07,903,69,0.93,0.07,847,125,0.87,0.13,870,102,0.90,0.10,3523,365,0.91,0.09
big_char_427_J.png,J,J,252,20,0.93,0.07,163,109,0.60,0.40,221,51,0.81,0.19,215,57,0.79,0.21,851,237,0.78,0.22
big_char_491_R.png,R,,768,177,0.81,0.19,904,41,0.96,0.04,744,201,0.79,0.21,912,33,0.97,0.03,3328,452,0.85,0.12
big_char_1271_F.png,F,F,140,115,0.55,0.45,162,93,0.64,0.36,177,78,0.69,0.31,255,0,1.00,0.00,734,286,0.72,0.28
big_char_1303_H.png,H,,191,97,0.66,0.34,220,68,0.76,0.24,197,91,0.68,0.32,204,84,0.71,0.29,812,340,0.68,0.29
big_char_1413_H.png,H,,216,88,0.71,0.29,191,113,0.63,0.37,191,113,0.63,0.37,201,103,0.66,0.34,799,417,0.62,0.32
big_char_631_V.png,V,,881,64,0.93,0.07,877,68,0.93,0.07,873,72,0.92,0.08,935,10,0.99,0.01,3566,214,0.93,0.06
big_char_750_R.png,R,R,263,174,0.60,0.40,394,43,0.90,0.10,317,120,0.73,0.27,354,83,0.81,0.19,1328,420,0.76,0.24
big_char_951_Y.png,Y,,796,114,0.87,0.13,793,117,0.87,0.13,822,88,0.90,0.10,827,83,0.91,0.09,3238,402,0.86,0.11
big_char_921_P.png,P,P,201,99,0.67,0.33,167,133,0.56,0.44,197,103,0.66,0.34,300,0,1.00,0.00,865,335,0.70,0.27
big_char_497_C.png,C,C,182,58,0.76,0.24,192,48,0.80,0.20,173,67,0.72,0.28,184,56,0.77,0.23,731,229,0.74,0.23
big_char_643_J.png,J,,923,22,0.98,0.02,815,130,0.86,0.14,864,81,0.91,0.09,851,94,0.90,0.10,3453,327,0.90,0.09
big_char_1309_T.png,T,T,178,110,0.62,0.38,225,63,0.78,0.22,236,52,0.82,0.18,288,0,1.00,0.00,927,225,0.76,0.18
big_char_787_K.png,K,K,152,136,0.53,0.47,240,48,0.83,0.17,153,135,0.53,0.47,227,61,0.79,0.21,772,380,0.65,0.32
big_char_160_R.png,R,Q,782,154,0.84,0.16,936,0,1.00,0.00,643,293,0.69,0.31,929,7,0.99,0.01,3290,454,0.86,0.12
big_char_542_J.png,J,E,879,93,0.90,0.10,901,71,0.93,0.07,833,139,0.86,0.14,972,0,1.00,0.00,3585,303,0.91,0.08
big_char_1351_Q.png,Q,,87,30,0.74,0.26,72,45,0.62,0.38,61,56,0.52,0.48,107,10,0.91,0.09,327,141,0.66,0.29
big_char_328_M.png,M,M,820,125,0.87,0.13,845,100,0.89,0.11,785,160,0.83,0.17,854,91,0.90,0.10,3304,476,0.86,0.12
big_char_1240_K.png,K,K,182,133,0.58,0.42,258,57,0.82,0.18,169,146,0.54,0.46,267,48,0.85,0.15,876,384,0.70,0.30
big_char_1364_N.png,N,,875,97,0.90,0.10,933,39,0.96,0.04,815,157,0.84,0.16,909,63,0.94,0.06,3532,356,0.91,0.09
big_char_864_C.png,C,C,177,78,0.69,0.31,237,18,0.93,0.07,175,80,0.69,0.31,184,71,0.72,0.28,773,247,0.74,0.24
big_char_193_K.png,K,,841,95,0.90,0.10,873,63,0.93,0.07,763,173,0.82,0.18,857,79,0.92,0.08,3334,410,0.87,0.11
big_char_789_R.png,R,,163,122,0.57,0.43,192,93,0.67,0.33,155,130,0.54,0.46,245,40,0.86,0.14,755,385,0.66,0.34
big_char_968_K.png,K,A,865,107,0.89,0.11,925,47,0.95,0.05,700,272,0.72,0.28,949,23,0.98,0.02,3439,449,0.86,0.11
big_char_676_U.png,U,U,857,53,0.94,0.06,841,69,0.92,0.08,792,118,0.87,0.13,831,79,0.91,0.09,3321,319,0.88,0.08
big_char_138_A.png,A,,207,49,0.81,0.19,137,119,0.54,0.46,181,75,0.71,0.29,157,99,0.61,0.39,682,342,0.63,0.31
big_char_1043_M.png,M,M,754,182,0.81,0.19,858,78,0.92,0.08,825,111,0.88,0.12,869,67,0.93,0.07,3306,438,0.87,0.11
big_char_1399_N.png,N,,858,114,0.88,0.12,932,40,0.96,0.04,862,110,0.89,0.11,900,72,0.93,0.07,3552,336,0.91,0.09
big_char_1323_L.png,L,,866,44,0.95,0.05,907,3,1.00,0.00,752,158,0.83,0.17,863,47,0.95,0.05,3388,252,0.90,0.07
big_char_46_X.png,X,X,209,76,0.73,0.27,212,73,0.74,0.26,181,104,0.64,0.36,238,47,0.84,0.16,840,300,0.69,0.25
big_char_708_V.png,V,,918,54,0.94,0.06,885,87,0.91,0.09,821,151,0.84,0.16,957,15,0.98,0.02,3581,307,0.90,0.08
big_char_840_B.png,B,,807,103,0.89,0.11,833,77,0.92,0.08,731,179,0.80,0.20,828,82,0.91,0.09,3199,441,0.85,0.12
big_char_1375_F.png,F,F,123,117,0.51,0.49,157,83,0.65,0.35,169,71,0.70,0.30,232,8,0.97,0.03,681,279,0.69,0.28
big_char_311_H.png,H,,153,99,0.61,0.39,178,74,0.71,0.29,144,108,0.57,0.43,145,107,0.58,0.42,620,388,0.60,0.37
big_char_1176_A.png,A,,154,80,0.66,0.34,117,117,0.50,0.50,173,61,0.74,0.26,145,89,0.62,0.38,589,347,0.59,0.35
big_char_1115_B.png,B,R,252,68,0.79,0.21,184,136,0.57,0.42,198,122,0.62,0.38,200,120,0.62,0.38,834,446,0.64,0.34
big_char_48_W.png,W,,332,73,0.82,0.18,301,104,0.74,0.26,306,99,0.76,0.24,229,176,0.57,0.43,1168,452,0.69,0.27
big_char_776_G.png,G,G,276,84,0.77,0.23,257,103,0.71,0.29,297,63,0.82,0.17,222,138,0.62,0.38,1052,388,0.69,0.26
big_char_1017_R.png,R,,782,163,0.83,0.17,922,23,0.98,0.02,770,175,0.81,0.19,883,62,0.93,0.07,3357,423,0.86,0.11
big_char_302_U.png,U,,931,41,0.96,0.04,902,70,0.93,0.07,874,98,0.90,0.10,864,108,0.89,0.11,3571,317,0.92,0.08
big_char_16_T.png,T,T,219,121,0.64,0.36,267,73,0.79,0.21,289,51,0.85,0.15,340,0,1.00,0.00,1115,245,0.82,0.18
big_char_177_J.png,J,,288,54,0.84,0.16,234,108,0.68,0.32,253,89,0.74,0.26,274,68,0.80,0.20,1049,319,0.77,0.23
big_char_810_N.png,N,,853,119,0.88,0.12,942,30,0.97,0.03,831,141,0.85,0.15,878,94,0.90,0.10,3504,384,0.90,0.10
big_char_1360_J.png,J,J,208,44,0.83,0.17,166,86,0.66,0.34,181,71,0.72,0.28,191,61,0.76,0.24,746,262,0.74,0.26
big_char_1373_W.png,W,,887,49,0.95,0.05,832,104,0.89,0.11,843,93,0.90,0.10,830,106,0.89,0.11,3392,352,0.89,0.09
big_char_836_Z.png,Z,,265,75,0.78,0.22,199,141,0.59,0.41,209,131,0.61,0.39,224,116,0.66,0.34,897,463,0.66,0.34
big_char_457_B.png,B,K,191,103,0.65,0.35,180,114,0.61,0.39,154,140,0.52,0.48,189,105,0.64,0.36,714,462,0.59,0.38
big_char_389_M.png,M,,203,142,0.59,0.41,213,132,0.62,0.38,243,102,0.70,0.30,264,81,0.77,0.23,923,457,0.65,0.32
big_char_1156_S.png,S,S,219,69,0.76,0.24,224,64,0.78,0.22,229,59,0.80,0.20,177,111,0.61,0.39,849,303,0.70,0.25
big_char_745_H.png,H,K,223,113,0.66,0.34,277,59,0.82,0.18,284,52,0.85,0.15,188,148,0.56,0.44,972,372,0.72,0.28
big_char_501_Z.png,Z,Z,252,108,0.70,0.30,249,111,0.69,0.31,245,115,0.68,0.32,291,69,0.81,0.19,1037,403,0.70,0.27
big_char_1273_E.png,E,P,179,125,0.59,0.41,206,98,0.68,0.32,195,109,0.64,0.36,264,40,0.87,0.13,844,372,0.69,0.31
big_char_473_T.png,T,,234,106,0.69,0.31,231,109,0.68,0.32,274,66,0.81,0.19,338,2,0.99,0.01,1077,283,0.75,0.20
big_char_84_M.png,M,,158,182,0.46,0.54,239,101,0.70,0.30,238,102,0.70,0.30,251,89,0.74,0.26,886,474,0.65,0.35
big_char_51_A.png,A,A,899,73,0.92,0.08,833,139,0.86,0.14,881,91,0.91,0.09,843,129,0.87,0.13,3456,432,0.89,0.11
big_char_1028_P.png,P,P,160,106,0.60,0.40,139,127,0.52,0.48,188,78,0.71,0.29,266,0,1.00,0.00,753,311,0.67,0.27
big_char_195_M.png,M,M,817,93,0.90,0.10,861,49,0.95,0.05,769,141,0.85,0.15,782,128,0.86,0.14,3229,411,0.86,0.11
big_char_1382_M.png,M,,164,140,0.54,0.46,188,116,0.62,0.38,191,113,0.63,0.37,216,88,0.71,0.29,759,457,0.59,0.36
