Image,Letter,White_0_0,Black_0_0,White_0_1,Black_0_1,White_0_2,Black_0_2,White_0_3,Black_0_3,White_0_4,Black_0_4,White_1_0,Black_1_0,White_1_1,Black_1_1,White_1_2,Black_1_2,White_1_3,Black_1_3,White_1_4,Black_1_4,White_2_0,Black_2_0,White_2_1,Black_2_1,White_2_2,Black_2_2,White_2_3,Black_2_3,White_2_4,Black_2_4,White_3_0,Black_3_0,White_3_1,Black_3_1,White_3_2,Black_3_2,White_3_3,Black_3_3,White_3_4,Black_3_4,White_4_0,Black_4_0,White_4_1,Black_4_1,White_4_2,Black_4_2,White_4_3,Black_4_3,White_4_4,Black_4_4
little_char_1338.png,,15,0,15,0,14,1,12,3,10,5,15,0,15,0,15,0,15,0,15,0,15,0,12,3,13,2,15,0,14,1,14,1,7,8,13,2,15,0,14,1,12,3,6,9,9,6,15,0,15,0
little_char_93.png,c,4,0,4,0,2,2,2,2,2,2,4,0,2,2,1,3,2,2,2,2,4,0,0,4,4,0,4,0,4,0,3,1,2,2,4,0,4,0,4,0,2,2,2,2,4,0,4,0,4,0
little_char_145.png,,2,0,2,0,1,1,2,0,2,0,2,0,2,0,0,2,1,1,2,0,2,0,1,1,0,2,2,0,2,0,2,0,0,2,1,1,2,0,2,0,2,0,0,2,2,0,1,1,0,2
little_char_623.png,,3,1,3,1,4,0,4,0,2,2,2,2,4,0,4,0,4,0,0,4,1,3,3,1,4,0,4,0,2,2,2,2,1,3,4,0,1,3,2,2,4,0,2,2,1,3,2,2,3,1
little_char_390.png,,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2,0,2,0,0,2,0,2,1,1,1,1
little_char_384.png,a,4,0,2,2,2,2,3,1,4,0,2,2,1,3,2,2,0,4,3,1,4,0,0,4,1,3,0,4,3,1,4,0,4,0,4,0,3,1,1,3,4,0,3,1,2,2,2,2,0,4
little_char_1106.png,,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,11,4,11,4,11,4,15,0,15,0,10,5,7,8,8,7,15,0,15,0,11,4,11,4,11,4,15,0
little_char_1660.png,,2,0,2,0,2,0,1,1,2,0,2,0,0,2,0,2,1,1,0,2,2,0,0,2,1,1,2,0,2,0,2,0,1,1,0,2,1,1,0,2,2,0,2,0,2,0,0,2,0,2
little_char_1674.png,z,6,0,6,0,4,2,2,4,4,2,6,0,6,0,3,3,5,1,1,5,6,0,4,2,2,4,1,5,1,5,6,0,3,3,2,4,5,1,6,0,4,2,2,4,2,4,2,4,2,4
little_char_353.png,j,4,0,4,0,4,0,2,2,3,1,4,0,4,0,4,0,1,3,3,1,4,0,4,0,4,0,1,3,4,0,4,0,4,0,4,0,0,4,4,0,3,1,3,1,4,0,1,3,4,0
little_char_435.png,x,2,0,2,0,2,0,2,0,2,0,2,0,0,2,0,2,2,0,2,0,2,0,1,1,0,2,1,1,0,2,2,0,2,0,0,2,0,2,1,1,2,0,0,2,1,1,2,0,1,1
little_char_1648.png,,4,0,4,0,2,2,3,1,4,0,3,1,0,4,2,2,0,4,4,0,2,2,2,2,4,0,2,2,1,3,2,2,1,3,2,2,2,2,0,4,4,0,2,2,2,2,2,2,3,1
little_char_421.png,,2,0,2,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,2,0,1,1,0,2,0,2,1,1,2,0,2,0,2,0,2,0,0,2,2,0,2,0,2,0,2,0,0,2
little_char_347.png,b,4,0,2,2,4,0,4,0,4,0,4,0,0,4,4,0,4,0,4,0,2,2,0,4,4,0,4,0,4,0,4,0,0,4,2,2,2,2,4,0,4,0,0,4,2,2,2,2,0,4
little_char_582.png,,3,1,2,2,4,0,2,2,4,0,3,1,1,3,4,0,0,4,4,0,4,0,1,3,1,3,0,4,3,1,4,0,4,0,4,0,2,2,2,2,2,2,2,2,4,0,4,0,2,2
little_char_596.png,m,9,6,12,3,11,4,10,5,11,4,15,0,15,0,15,0,15,0,15,0,15,0,13,2,15,0,14,1,15,0,12,3,4,11,7,8,12,3,15,0,9,6,11,4,7,8,12,3,15,0
little_char_1099.png,e,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0,15,0,14,1,6,9,12,3,15,0,15,0,10,5,5,10,14,1,15,0,15,0,12,3,4,11,12,3,15,0,12,3
little_char_1072.png,,4,0,2,2,2,2,3,1,4,0,3,1,0,4,0,4,2,2,4,0,4,0,1,3,0,4,1,3,4,0,4,0,4,0,4,0,0,4,4,0,3,1,1,3,2,2,1,3,3,1
little_char_1714.png,,3,1,4,0,4,0,2,2,4,0,2,2,2,2,4,0,0,4,4,0,3,1,0,4,2,2,0,4,3,1,4,0,4,0,2,2,3,1,2,2,4,0,4,0,4,0,4,0,2,2
little_char_569.png,o,2,0,2,0,2,0,1,1,1,1,2,0,2,0,0,2,1,1,1,1,2,0,0,2,0,2,2,0,2,0,2,0,1,1,0,2,1,1,1,1,2,0,2,0,2,0,2,0,1,1
little_char_1700.png,,14,1,15,0,14,1,14,1,15,0,15,0,15,0,9,6,13,2,15,0,15,0,13,2,6,9,6,9,15,0,15,0,15,0,10,5,13,2,15,0,15,0,15,0,8,7,15,0,15,0
little_char_227.png,,4,0,2,2,2,2,4,0,4,0,2,2,1,3,2,2,2,2,2,2,2,2,2,2,4,0,4,0,4,0,2,2,2,2,4,0,4,0,4,0,2,2,2,2,4,0,4,0,4,0
little_char_541.png,s,4,0,4,0,2,2,2,2,3,1,4,0,2,2,0,4,2,2,3,1,4,0,4,0,1,3,1,3,4,0,4,0,4,0,4,0,3,1,1,3,2,2,1,3,2,2,0,4,1,3
little_char_964.png,,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,2,0,2,2,0,2,0,0,2,0,2,0,2,2,0,1,1,1,1,2,0,2,0,2,0,1,1,1,1,2,0,2,0,2,0
little_char_970.png,,4,0,4,0,2,2,2,2,3,1,4,0,2,2,1,3,1,3,2,2,4,0,0,4,3,1,4,0,4,0,3,1,1,3,4,0,4,0,4,0,2,2,1,3,4,0,4,0,4,0
little_char_780.png,a,4,0,4,0,4,0,4,0,3,1,4,0,4,0,4,0,4,0,1,3,4,0,4,0,4,0,4,0,0,4,4,0,3,1,2,2,4,0,0,4,3,1,1,3,2,2,0,4,1,3
little_char_958.png,,4,0,4,0,4,0,4,0,3,1,4,0,4,0,4,0,4,0,0,4,4,0,4,0,4,0,3,1,0,4,4,0,1,3,0,4,0,4,1,3,2,2,1,3,2,2,1,3,0,4
little_char_794.png,l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
little_char_1516.png,g,15,0,15,0,15,0,15,0,12,3,15,0,9,6,11,4,15,0,15,0,15,0,8,7,8,7,15,0,15,0,15,0,10,5,6,9,15,0,15,0,15,0,15,0,8,7,15,0,15,0
little_char_1270.png,,4,0,3,1,4,0,4,0,4,0,3,1,0,4,4,0,4,0,4,0,2,2,1,3,4,0,2,2,2,2,4,0,0,4,0,4,0,4,1,3,4,0,1,3,0,4,4,0,4,0
little_char_1264.png,,4,0,4,0,4,0,4,0,3,1,4,0,4,0,4,0,2,2,2,2,4,0,4,0,4,0,1,3,3,1,3,1,0,4,0,4,0,4,4,0,3,1,0,4,1,3,0,4,3,1
little_char_1502.png,q,2,0,2,0,2,0,2,0,2,0,2,0,0,2,0,2,2,0,2,0,2,0,0,2,0,2,1,1,1,1,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2,0,2,0,2,0
little_char_743.png,d,15,0,15,0,15,0,15,0,15,0,15,0,15,0,12,3,15,0,15,0,15,0,15,0,10,5,15,0,15,0,15,0,9,6,9,6,15,0,13,2,13,2,11,4,7,8,15,0,13,2
little_char_1258.png,,4,0,4,0,2,2,2,2,4,0,4,0,1,3,2,2,1,3,2,2,2,2,2,2,4,0,4,0,0,4,2,2,1,3,4,0,3,1,0,4,4,0,2,2,1,3,2,2,2,2
little_char_757.png,,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,11,4,9,6,15,0,15,0,15,0,9,6,9,6,15,0,15,0,15,0,9,6,9,6,15,0,15,0
little_char_1259.png,,15,0,15,0,15,0,14,1,14,1,15,0,15,0,10,5,15,0,14,1,15,0,12,3,12,3,15,0,14,1,15,0,11,4,8,7,15,0,13,2,11,4,10,5,8,7,15,0,13,2
little_char_742.png,b,6,0,4,2,5,1,6,0,6,0,6,0,1,5,6,0,6,0,6,0,3,3,3,3,6,0,6,0,6,0,3,3,3,3,2,4,3,3,1,5,3,3,3,3,3,3,3,3,3,3
little_char_1265.png,,4,0,2,2,2,2,4,0,4,0,2,2,1,3,2,2,0,4,3,1,2,2,1,3,1,3,0,4,1,3,4,0,3,1,2,2,2,2,0,4,4,0,3,1,4,0,4,0,0,4
little_char_1503.png,,4,0,4,0,4,0,2,2,2,2,4,0,4,0,2,2,0,4,2,2,4,0,4,0,4,0,0,4,3,1,4,0,4,0,4,0,3,1,1,3,3,1,0,4,0,4,0,4,3,1
little_char_1517.png,,12,3,10,5,10,5,10,5,10,5,15,0,11,4,15,0,15,0,15,0,15,0,9,6,15,0,15,0,15,0,15,0,10,5,6,9,11,4,15,0,15,0,7,8,9,6,11,4,15,0
little_char_1271.png,,13,2,15,0,12,3,15,0,15,0,13,2,15,0,5,10,12,3,15,0,14,1,15,0,6,9,13,2,15,0,15,0,15,0,7,8,15,0,15,0,15,0,15,0,13,2,15,0,15,0
little_char_795.png,,4,0,3,1,2,2,2,2,3,1,4,0,1,3,4,0,1,3,0,4,2,2,1,3,2,2,2,2,4,0,2,2,2,2,4,0,4,0,4,0,2,2,2,2,4,0,4,0,4,0
little_char_781.png,j,15,0,15,0,15,0,15,0,15,0,15,0,15,0,11,4,15,0,15,0,15,0,14,1,13,2,15,0,15,0,15,0,15,0,9,6,15,0,15,0,15,0,15,0,9,6,15,0,15,0
little_char_971.png,g,4,0,2,2,2,2,2,2,4,0,3,1,1,3,4,0,3,1,1,3,3,1,1,3,4,0,0,4,2,2,4,0,2,2,0,4,0,4,3,1,4,0,4,0,1,3,1,3,4,0
little_char_554.png,,4,0,3,1,3,1,4,0,4,0,3,1,1,3,2,2,4,0,3,1,4,0,2,2,2,2,4,0,2,2,4,0,3,1,0,4,2,2,1,3,4,0,4,0,3,1,2,2,2,2
little_char_232.png,s,2,0,2,0,2,0,0,2,2,0,2,0,2,0,1,1,0,2,0,2,1,1,2,0,1,1,0,2,0,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,2,0,2,0,0,2
little_char_226.png,i,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,1,1,0,2,2,0,2,0,1,1,0,2,2,0,2,0,2,0,0,2,1,1,2,0,2,0,0,2,0,2,2,0,2,0
little_char_1729.png,a,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,4,0,4,0,3,1,2,2,2,2,3,1,0,4,2,2,1,3,0,4,1,3,1,3,2,2,2,2,1,3
little_char_540.png,p,3,0,3,0,2,1,1,2,1,2,3,0,0,3,0,3,2,1,0,3,3,0,0,3,0,3,2,1,3,0,2,1,0,3,2,1,3,0,3,0,3,0,1,2,3,0,3,0,3,0
little_char_1701.png,c,4,0,2,2,3,1,4,0,4,0,4,0,1,3,3,1,4,0,4,0,3,1,1,3,4,0,3,1,3,1,2,2,1,3,1,3,0,4,2,2,2,2,0,4,2,2,4,0,4,0
little_char_568.png,,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,11,4,12,3,10,5,15,0,15,0,9,6,7,8,9,6,15,0,15,0,7,8,7,8,8,7,15,0
little_char_1067.png,b,6,0,2,4,6,0,6,0,6,0,4,2,3,3,6,0,6,0,6,0,3,3,2,4,3,3,2,4,5,1,3,3,2,4,5,1,3,3,2,4,6,0,4,2,2,4,3,3,5,1
little_char_1073.png,h,4,0,2,2,4,0,4,0,4,0,4,0,0,4,4,0,4,0,4,0,4,0,0,4,3,1,2,2,3,1,3,1,1,3,1,3,2,2,0,4,2,2,0,4,4,0,4,0,0,4
little_char_1715.png,,3,1,3,1,4,0,4,0,4,0,2,2,1,3,4,0,4,0,4,0,3,1,0,4,4,0,4,0,2,2,4,0,2,2,2,2,3,1,0,4,4,0,4,0,0,4,0,4,3,1
little_char_1098.png,d,12,3,15,0,15,0,15,0,15,0,12,3,15,0,10,5,15,0,15,0,12,3,13,2,9,6,15,0,15,0,9,6,8,7,4,11,15,0,15,0,7,8,8,7,7,8,15,0,15,0
little_char_583.png,,4,0,2,2,1,3,4,0,4,0,3,1,2,2,2,2,2,2,4,0,4,0,4,0,1,3,3,1,4,0,4,0,0,4,0,4,0,4,0,4,3,1,1,3,4,0,4,0,4,0
little_char_1649.png,d,4,0,4,0,4,0,4,0,2,2,4,0,4,0,4,0,4,0,0,4,4,0,4,0,4,0,4,0,0,4,4,0,1,3,0,4,0,4,0,4,3,1,1,3,2,2,2,2,0,4
little_char_346.png,a,4,0,4,0,4,0,2,2,4,0,4,0,1,3,0,4,0,4,0,4,2,2,1,3,4,0,4,0,2,2,4,0,0,4,2,2,2,2,1,3,4,0,4,0,2,2,3,1,4,0
little_char_352.png,h,4,0,4,0,3,1,4,0,4,0,4,0,2,2,2,2,4,0,4,0,4,0,0,4,4,0,4,0,4,0,4,0,0,4,2,2,0,4,2,2,3,1,0,4,3,1,2,2,2,2
little_char_434.png,,4,0,3,1,4,0,4,0,4,0,3,1,2,2,4,0,3,1,4,0,2,2,2,2,4,0,0,4,4,0,2,2,2,2,3,1,0,4,1,3,4,0,1,3,0,4,3,1,2,2
little_char_1675.png,v,3,1,3,1,4,0,4,0,4,0,2,2,2,2,4,0,4,0,2,2,4,0,0,4,4,0,4,0,0,4,4,0,1,3,3,1,1,3,3,1,4,0,3,1,0,4,3,1,4,0
little_char_1113.png,,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,8,7,12,3,15,0,15,0,12,3,11,4,15,0,15,0,15,0,12,3,14,1,15,0,15,0
little_char_1107.png,n,14,1,15,0,15,0,14,1,10,5,15,0,15,0,15,0,15,0,15,0,14,1,10,5,11,4,15,0,15,0,15,0,7,8,9,6,15,0,15,0,15,0,11,4,13,2,15,0,15,0
little_char_391.png,e,2,0,2,0,1,1,1,1,1,1,2,0,1,1,0,2,1,1,1,1,2,0,0,2,0,2,1,1,0,2,2,0,0,2,2,0,2,0,2,0,2,0,0,2,2,0,2,0,2,0
little_char_144.png,,4,0,3,1,2,2,4,0,4,0,3,1,0,4,2,2,1,3,3,1,4,0,1,3,0,4,0,4,2,2,4,0,4,0,4,0,3,1,0,4,3,1,2,2,3,1,3,1,1,3
little_char_636.png,e,4,0,4,0,2,2,1,3,3,1,4,0,2,2,1,3,3,1,0,4,4,0,1,3,4,0,0,4,2,2,3,1,0,4,2,2,3,1,4,0,3,1,1,3,1,3,1,3,4,0
little_char_150.png,e,4,0,4,0,2,2,2,2,3,1,4,0,1,3,2,2,0,4,1,3,2,2,2,2,2,2,2,2,4,0,2,2,2,2,4,0,4,0,4,0,4,0,1,3,1,3,2,2,0,4
little_char_86.png,h,4,0,3,1,4,0,4,0,4,0,4,0,1,3,4,0,4,0,4,0,4,0,1,3,3,1,2,2,3,1,3,1,1,3,1,3,2,2,2,2,2,2,1,3,4,0,2,2,2,2
little_char_1311.png,,6,0,4,2,6,0,6,0,6,0,5,1,0,6,6,0,6,0,6,0,3,3,3,3,6,0,5,1,4,2,3,3,2,4,1,5,2,4,3,3,4,2,1,5,2,4,2,4,2,4
little_char_1477.png,s,12,3,15,0,15,0,15,0,15,0,13,2,15,0,15,0,15,0,15,0,15,0,5,10,15,0,15,0,15,0,15,0,2,13,11,4,15,0,15,0,15,0,13,2,9,6,15,0,15,0
little_char_1463.png,,2,0,2,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,2,1,1,2,0,2,0,2,0,0,2,2,0,2,0,2,0,2,0,0,2,2,0,2,0,2,0,2,0,1,1
little_char_1305.png,,10,5,10,5,10,5,10,5,10,5,12,3,15,0,13,2,15,0,15,0,13,2,14,1,9,6,15,0,15,0,14,1,12,3,12,3,12,3,15,0,15,0,12,3,4,11,10,5,15,0
little_char_51.png,v,16,4,20,0,20,0,20,0,20,0,17,3,17,3,18,2,20,0,20,0,17,3,13,7,13,7,20,0,20,0,20,0,13,7,11,9,20,0,20,0,15,5,13,7,13,7,15,5,15,5
little_char_1488.png,,4,0,4,0,4,0,4,0,1,3,4,0,4,0,4,0,4,0,0,4,4,0,4,0,2,2,2,2,0,4,3,1,0,4,2,2,2,2,0,4,2,2,1,3,4,0,3,1,1,3
little_char_193.png,i,2,0,2,0,2,0,1,1,1,1,2,0,2,0,2,0,0,2,1,1,2,0,2,0,2,0,0,2,2,0,2,0,2,0,0,2,1,1,2,0,2,0,0,2,0,2,2,0,2,0
little_char_45.png,a,4,0,4,0,3,1,2,2,3,1,4,0,1,3,1,3,2,2,1,3,3,1,2,2,4,0,4,0,2,2,2,2,2,2,4,0,4,0,2,2,4,0,1,3,2,2,2,2,1,3
little_char_805.png,u,4,0,3,1,4,0,4,0,4,0,3,1,1,3,4,0,4,0,3,1,2,2,2,2,4,0,4,0,2,2,4,0,0,4,4,0,4,0,2,2,4,0,3,1,0,4,0,4,1,3
little_char_811.png,a,2,1,3,0,2,1,3,0,3,0,2,1,3,0,1,2,3,0,2,1,2,1,3,0,1,2,3,0,2,1,2,1,3,0,1,2,3,0,1,2,1,2,1,2,0,3,3,0,1,2
little_char_79.png,,4,0,4,0,2,2,2,2,2,2,3,1,1,3,3,1,3,1,0,4,2,2,3,1,4,0,4,0,0,4,3,1,1,3,4,0,4,0,0,4,4,0,3,1,2,2,1,3,1,3
little_char_807.png,,3,1,3,1,4,0,4,0,4,0,2,2,2,2,4,0,4,0,0,4,2,2,2,2,4,0,1,3,2,2,2,2,2,2,3,1,1,3,4,0,4,0,0,4,1,3,3,1,4,0
little_char_813.png,d,11,4,10,5,10,5,10,5,10,5,15,0,15,0,12,3,15,0,15,0,15,0,15,0,9,6,15,0,15,0,15,0,10,5,8,7,15,0,15,0,15,0,6,9,7,8,15,0,15,0
little_char_53.png,c,4,0,4,0,3,1,2,2,3,1,4,0,2,2,0,4,0,4,1,3,3,1,0,4,1,3,2,2,4,0,3,1,2,2,4,0,4,0,4,0,3,1,0,4,2,2,2,2,0,4
little_char_185.png,f,2,0,2,0,2,0,1,1,1,1,2,0,2,0,0,2,1,1,0,2,2,0,2,0,0,2,0,2,0,2,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,2,0,2,0
little_char_191.png,p,2,0,2,0,1,1,1,1,1,1,2,0,1,1,0,2,1,1,0,2,2,0,0,2,0,2,0,2,1,1,2,0,0,2,0,2,2,0,2,0,2,0,0,2,0,2,2,0,2,0
little_char_1475.png,d,15,0,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0,9,6,15,0,15,0,14,1,6,9,9,6,15,0,15,0,9,6,12,3,10,5,15,0,15,0
little_char_1313.png,a,4,0,4,0,2,2,3,1,4,0,4,0,1,3,1,3,0,4,3,1,4,0,0,4,1,3,0,4,4,0,4,0,3,1,2,2,1,3,2,2,3,1,4,0,4,0,3,1,1,3
little_char_1307.png,b,4,0,2,2,4,0,4,0,4,0,4,0,0,4,4,0,4,0,4,0,4,0,1,3,3,1,3,1,4,0,3,1,0,4,1,3,1,3,2,2,2,2,1,3,4,0,1,3,3,1
little_char_1461.png,rs,4,0,3,1,2,2,3,1,4,0,3,1,0,4,2,2,0,4,1,3,2,2,2,2,4,0,4,0,3,1,2,2,2,2,4,0,4,0,4,0,2,2,2,2,4,0,4,0,4,0
little_char_620.png,y,4,0,4,0,4,0,4,0,3,1,3,1,3,1,4,0,4,0,0,4,2,2,2,2,4,0,1,3,3,1,2,2,1,3,3,1,1,3,4,0,4,0,0,4,0,4,3,1,4,0
little_char_1449.png,,15,0,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0,10,5,6,9,15,0,15,0,15,0,4,11,9,6,15,0,15,0,15,0,8,7,15,0,15,0,15,0
little_char_90.png,,2,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0,0,2,0,2,2,0,2,0,0,2,1,1,1,1,2,0,1,1,0,2,2,0,2,0,2,0,0,2,0,2,2,0,2,0
little_char_146.png,,3,1,3,1,4,0,4,0,4,0,2,2,2,2,4,0,4,0,4,0,2,2,2,2,4,0,2,2,1,3,4,0,1,3,1,3,0,4,3,1,4,0,1,3,0,4,4,0,4,0
little_char_387.png,,4,0,3,1,2,2,2,2,4,0,2,2,0,4,0,4,0,4,3,1,1,3,1,3,2,2,4,0,4,0,3,1,0,4,2,2,2,2,3,1,4,0,4,0,3,1,2,2,2,2
little_char_393.png,,4,0,4,0,3,1,2,2,4,0,4,0,4,0,3,1,0,4,0,4,4,0,3,1,4,0,3,1,1,3,2,2,2,2,4,0,4,0,2,2,4,0,1,3,0,4,2,2,0,4
little_char_1111.png,a,4,0,3,1,2,2,4,0,4,0,4,0,0,4,2,2,1,3,4,0,2,2,2,2,2,2,0,4,4,0,3,1,0,4,0,4,0,4,3,1,4,0,4,0,4,0,2,2,2,2
little_char_1677.png,b,15,0,15,0,14,1,15,0,14,1,15,0,14,1,15,0,15,0,15,0,15,0,9,6,15,0,15,0,15,0,15,0,9,6,15,0,15,0,15,0,15,0,6,9,3,12,15,0,15,0
little_char_1663.png,,4,0,3,1,4,0,4,0,3,1,4,0,4,0,3,1,1,3,0,4,3,1,3,1,4,0,2,2,0,4,2,2,0,4,3,1,4,0,0,4,2,2,1,3,0,4,3,1,0,4
little_char_1105.png,q,6,0,6,0,3,3,6,0,6,0,6,0,1,5,2,4,3,3,6,0,4,2,5,1,6,0,3,3,6,0,3,3,6,0,6,0,1,5,6,0,5,1,2,4,0,6,1,5,6,0
little_char_422.png,v,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,13,2,14,1,10,5,15,0,15,0,8,7,9,6,14,1,15,0,15,0,7,8,11,4,15,0,15,0
little_char_436.png,,3,1,4,0,3,1,3,1,4,0,1,3,2,2,2,2,2,2,4,0,3,1,0,4,0,4,1,3,4,0,4,0,4,0,4,0,0,4,4,0,4,0,4,0,4,0,2,2,3,1
little_char_350.png,e,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,2,0,2,2,0,2,0,0,2,0,2,1,1,2,0,1,1,0,2,2,0,2,0,2,0,0,2,0,2,2,0,2,0
little_char_1139.png,,11,4,10,5,10,5,10,5,10,5,15,0,15,0,11,4,15,0,15,0,15,0,13,2,14,1,15,0,15,0,15,0,11,4,13,2,15,0,15,0,15,0,10,5,10,5,15,0,15,0
little_char_581.png,,6,0,6,0,6,0,6,0,6,0,2,4,6,0,4,2,5,1,4,2,2,4,6,0,4,2,3,3,3,3,4,2,3,3,3,3,0,6,1,5,6,0,1,5,2,4,5,1,4,2
little_char_1065.png,s,12,3,15,0,15,0,14,1,15,0,12,3,15,0,15,0,15,0,15,0,12,3,8,7,6,9,15,0,15,0,12,3,12,3,6,9,15,0,15,0,12,3,11,4,7,8,15,0,15,0
little_char_1703.png,,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0,14,1,15,0,11,4,15,0,12,3,15,0,15,0,7,8,13,2,10,5,14,1,15,0,10,5,6,9,15,0,15,0
little_char_218.png,,6,0,3,3,2,4,3,3,6,0,6,0,1,5,3,3,1,5,4,2,6,0,6,0,6,0,3,3,2,4,6,0,6,0,6,0,6,0,0,6,4,2,3,3,4,2,3,3,3,3
little_char_1059.png,,4,0,4,0,3,1,2,2,2,2,4,0,4,0,3,1,1,3,3,1,3,1,4,0,4,0,4,0,1,3,3,1,1,3,2,2,2,2,1,3,4,0,3,1,2,2,2,2,4,0
little_char_230.png,,4,0,4,0,4,0,4,0,3,1,2,2,2,2,4,0,3,1,1,3,2,2,0,4,4,0,0,4,4,0,3,1,0,4,2,2,2,2,4,0,4,0,2,2,0,4,4,0,4,0
little_char_556.png,,12,3,15,0,12,3,11,4,10,5,13,2,15,0,15,0,15,0,15,0,12,3,8,7,10,5,15,0,15,0,10,5,12,3,15,0,15,0,15,0,12,3,7,8,8,7,15,0,15,0
little_char_542.png,i,2,0,2,0,2,0,2,0,0,2,2,0,2,0,2,0,0,2,0,2,2,0,2,0,1,1,0,2,1,1,2,0,2,0,0,2,1,1,2,0,2,0,0,2,0,2,1,1,2,0
little_char_224.png,,4,0,4,0,2,2,4,0,4,0,4,0,4,0,1,3,2,2,4,0,4,0,4,0,3,1,1,3,4,0,2,2,3,1,4,0,1,3,4,0,4,0,1,3,1,3,1,3,2,2
